Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
Monsieur			proszę pana; pan	
la leçon			lekcja	
un			jeden	
première			pierwsza	
on parle			mówi się; mówią	
français			po francusku	
écoutez!			słuchajcie!	
est-ce que?			czy?	
je parle			mówią	
oui			tak	
vous parlez			mówicie	
parlez-vous?			czy mówicie?	
polonais			po polsku	
russe			po rosyjsku	
madame			pani	
non			nie	
je ne parle pas			nie mówię	
allemand			po niemiecku	
mademoiselle			panna; panienka	
parle-t-il?			czy on mówi?	
anglais			po angielsku	
il ne parle pas			on nie mówi	
elles parlent			one mówią	
messieurs			panowie	
nous parlons			my mówimy	
mesdames			panie	
nous ne parlons pas			nie mówimy	
mesdemoiselles			panie; panienki	
on parle français			mówi sie po francusku	
est-ce que je parle?			czy ja mówię?	
# === 2 ===
voici			oto	
deuxième			drugi	
fumer			palić	tytoń
une cigarette			papieros	
entrer			wchodzić	
fumez-vous?			czy palicie?	
merci			dziękuję	
je ne fume pas			nie palę	
regarder			patrzeć; oglądać	
un livre			książka	
apporter			przynosić	
une carte postale			karta pocztowa	
une photo			zdjęcie; fotografia	
regardez!			patrzcie!	
une			jedna	
fumez-vous, madame?			czy pani pali?	
oui, je fume			tak, palę	
non, je ne fume pas			nie, nie palę	
# === 3 ===
trois			trzy	
troisième			trzeci	
l'amie			przyjaciółka	
voilà			oto	
le camarade			kolega	
Paris			Paryż	
la capitale			stolica	
la France			Francja	
regarde!			patrz!	
Varsovie			Warszawa	
la Pologne			Polska	
la tour			wieża	
le palais			pałac	
la culture			kultura	
la science			nauka	
aussi			także	
à Varsovie			w Warszawie	
à Paris			w Paryżu	
aimer			lubić	
# === 4 ===
entrer			wchodzić	
quatre			cztery	
habiter			mieszkać; zamieszkiwać	
un appartement			mieszkanie	
la rue			ulica	
le bac			prom	
visiter			zwiedzać	
la famille			rodzina	
le cabinet			gabinet	
le travail			praca	
le cabinet de travail			gabinet	
la salle			sala	
manger			jeść	
la salle à manger			jadalnia	
avec			z	
le divan			tapczan	
la fille			dziewczyna; córka	
ici			tutaj	
la chambre			pokój	
les parents			rodzice	
le lit			łóżko	
le garçon			chłopiec	
montrer			pokazać	
le bain			kąpiel	
la cuisine			kuchnia	
la salle de bain			łazienka	
ensuite			potem	
sorter			wychodzić	
# === 5 ===
cinq			pięć	
cinquième			piąty	
j'ai			mam	
un stylo			wieczne pióro	
vous avez			macie	
avez-vous?			czy macie?	
un carnet			notes	
as-tu?			czy masz?	
un canif			scyzoryk	
je n'ai pas			nie mam	
un crayon			ołówek	
nous avons			mamy	
mais			ale; lecz	
nous n'avons pas			nie mamy	
il a			on ma	
une plume			pióro	
un cahier			zeszyt	
ils ont			oni mają	
je n'ai pas de canif			nie mam scyzoryka	
nous n'avons pas de cahiers			nie mamy zeszytów	
l'encre			atrament	
un encrier			kałamarz	
une gomme			gumka	
un papier buvard			bibuła	
une règle			linijka	
un stylo à bille			pióro kulkowe; długopis	
# === 6 ===
aussi			także	
sixième			szósty	
une visite			wizyta	
les environs			okolica	
une maison			dom	
un jardin			ogród	
un enfant			dziecko	
deux enfants			dwoje dzieci	
dimanche			niedziela	
un ami			przyjaciel	
arriver			przybywać; przyjeżdżać	
un autobus			autobus	
un chien			pies	
noir			czarny	
garder			pilnować	
la porte			drzwi; furtka	
rester			zostać; pozostać	
il ouvre			on otwiera	
le jour			dzień	
bonjour			dzień dobry	
cher			drogi	
l'arbre			drzewo	
les arbres			drzewa	
les fleurs			kwiaty	
donner			dać; dawać	
elle donne			ona daje	
un bonbon			cukierek	
des bonbons			cukierki	
l'âge			wiek	
la soeur			siostra	
puis			potem	
jouer			bawić się; grać	
le chien			pies	
la personne			osoba	
le goûter			podwieczorek	
offrir			podać	
elle offre			ona podaje; ona częstuje	
un fruit			owoc	
un gâteau			ciastko	
le visiteur			gość; zwiedzający	
après			po	
les messieurs			panowie	
les dames			panie	
l'oiseau			ptak	
chanter			śpiewać	
passer			spędzać; przejść; przejechać	
bien			dobrze	
la journée			dzień	
en visite			z wizytą	
un dimanche			pewnej niedzieli	
leurs amis			ich przyjaciele	
en autobus			autobusem	
il dit à ...			on mówi do ...	
reste tranquille			siedź spokojnie	
bonjour monsieur			dzień dobry panu	
bonjour madame			dzień dobry pani	
chers amis			drodzy przyjaciele	
quel âge as-tu?			ile masz lat?	
ma soeur			moja siostra	
avec le chien			z psem	
les grandes personnes			dorośli	
ils passent bien			oni dobrze spędzają	
le lilas			bez	kwiat
le muguet			konwalia	
l'oeillet			goździk	
grand			duży	
gros			duży; gruby; otyły; wielki	
petit			mały	
# === 7 ===
devant			przed	
sur			nad; na	
rond			okrągły	
sept			siedem	
septième			siódmy	
une fenêtre			okno	
qu'est-ce que?			co?	
bleu			niebieski	
une table			stół	
la nuit			noc	
une table de nuit			stolik nocny	
une lampe			lampa	
un réveil			budzik	
le plancher			podłoga	
un tapis			dywan	
au millieu de			na środku	
un vase			wazon	
un cendrier			popielniczka	
autour de			naokoło	
une chaise			krzesło	
un bureau			biurko	
une machine			maszyna	
une machine à écrire			maszyna do pisania	
un rideau			firanka	
un tableau			obraz	
un balcon			balkon	
un poêle			piec	
un radiateur			kaloryfer	
encore			jeszcze	
partout			wszędzie	
un rayon			półka	
étudier			studiować	
l'université			uniwersytet	
il y a			jest; znajduje się; są; znajdują się	
qu'est-ce qu'il y a?			co jest? co się znajduje?	
beaucoup de livres			dużo książek	
# === 8 ===
Qu'est-ce que c'est?			Co to jest?	
étroit			wąski	
ici			tutaj	
arriver			przybywać; przyjeżdżać	
passer			spędzać; przejść; przejechać	
huit			osiem	
huitième			ósmy	
une promenade			spacer	
un pont			most	
musée			muzeum	
le magasin			sklep	
nous sommes			jesteśmy	
enfin			w końcu; wreszcie	
belle			piękna	
une ville			miasto	
es-tu?			czy jesteś?	
content			zadowolony	
contente			zadowolona	
demander			pytać; zapytać	
je suis			jestem	
très			bardzo	
marcher			chodzić	
traverser			przechodzić; przejść przez	
une place			plac	
la Seine			Sekwana	
tranquille			spokojny	
vieux			stary	
vieille			stara	
gris			szary	
grise			szara	
le toit			dach	
le quartier			dzielnica	
depuis			od	
midi			południe	
fatigué			zmęczony	
proposer			proponować	
le café			kawiarnia	
là			tam	
là-bas			tam; het	
ils arrivent de			oni przybywają z	
pour la première fois			po raz pierwszy	
c'est			to jest	
ce sont			to są	
# === 9 ===
noir			czarny	
un fruit			owoc	
neuf			dziewięć	
neuvième			dziewiąty; dziewiąta	
la récolte			zbiór	
aujourd'hui			dziś	
le père			ojciec	
la mère			matka	
travailler			pracować	
le verger			sad	
peu			mało	
une pomme			jabłko	
une prune			śliwka	
une poire			gruszka	
monter			wchodzić	
ramasser			zbierać	
un panier			kosz; koszyk	
porter			nosić	
plein			pełny	
aider			pomagać	
préférer			bardziej lubić; woleć	
une couleur			kolor	
goûter			kosztować; próbować	
ajouter			dodać; dorzucić	
un prunier			śliwa	drzewo
violette			fioletowa	
jaune			żółty; żółta	
rose			różowy; różowa	
protester			protestować	
étonné			zdziwiony	
parce que			ponieważ	
vert			zielony	
expliquer			wytłumaczyć; wyjaśnić	
penser			myśleć	
vraiment			naprawdę	
une fraise			truskawka	
une cerise			czereśnia	
une framboise			malina	
une groseille			porzeczka	
une pêche			brzoskwinia	
un abricot			morela	
une orange			pomarańcza	
un citron			cytryna	
une banane			banan	
une noix			orzech	
une noisette			orzech laskowy	
j'aime les poires			lubię gruszki	
je préfère les raisins			wolę winogrona	
de quelle couleur?			jakiego koloru?	
il y a beaucoup de			jest dużo ...	
il y a peu de			jest mało ...	
il a cinq ans			on ma pięć lat	
# === 10 ===
la soeur			siostra	
après			po	
bien			dobrze	
dix			dziesięć	
dixième			dziesiąty; dziesiąta	
une rencontre			spotkanie	
rencontrer			spotkać	
son			swój	
comment			jak	
et toi			a ty	
mieux			lepiej	
dehors			na dworze	
un rhume			katar	
un gros rhume			silny katar	
chez			u; do	
ma			moja	
plutôt			raczej	
mal			źle	
mon			mój	
le mari			mąż	
malade			chory	
la grippe			grypa	
grave			poważny; groźny	
l'humeur			humor	
mauvais			zły	
justement			akurat; właśnie	
le pharmacien			aptekarz	
la santé			zdrowie	
rentrer			wracać	
le banc			ławka	
une allée			aleja	
jeune			młody; młoda	
un homme			mężczyzna; człowiek	
un jeune homme			młody człowiek	
pardon			przepraszam	
fort			silny	
un accent			akcent	
un étudiant			student	
étranger			obcokrajowiec	
loin			daleko	
tout droit			prosto	
à gauche			na lewo	
tourner			skręcać	
à droite			na prawo	
chère amie			moja droga	
je vais très bien			czuję się bardzo dobrze	
il va mieux			czuje się lepiej	
chez vous			u was	
au bureau			do biura; w biurze	
à la maison			w domu	
être de mauvaise humeur			być w złym humorze	
être de bonne humeur			być w dobrym humorze	
être malade			być chorym; chorować	
aller chez le pharmacien			iść do apteki	
au revoir			do widzenia	
bonne santé à votre mari			(życzę) zdrowia pani mężowi	
il y a beaucoup de monde			jest dużo ludzi	
pardon, madame			przepraszam panią	
s'il vous plaît			proszę	
merci bien			dziękuję bardzo	
