Phrase	Grammar	Transcription	Translation	Notes
sixième			szósty	
une visite			wizyta	
les environs			okolica	
une maison			dom	
un jardin			ogród	
un enfant			dziecko	
deux enfants			dwoje dzieci	
petit			mały	
dimanche			niedziela	
un ami			przyjaciel	
arriver			przybywać; przyjeżdżać	
un autobus			autobus	
un chien			pies	
gros			gruby; duży	
noir			czarny	
garder			pilnować	
la porte			drzwi; furtka	
rester			zostać; pozostać	
il ouvre			on otwiera	
le jour			dzień	
bonjour			dzień dobry	
cher			drogi	
l'arbre			drzewo	
les arbres			drzewa	
les fleurs			kwiaty	
donner			dać; dawać	
elle donne			ona daje	
un bonbon			cukierek	
des bonbons			cukierki	
l'âge			wiek	
la soeur			siostra	
puis			potem	
jouer			bawić się; grać	
le chien			pies	
grand			duży	
la personne			osoba	
le goûter			podwieczorek	
offrir			podać	
elle offre			ona podaje; ona częstuje	
un fruit			owoc	
un gâteau			ciastko	
le visiteur			gość; zwiedzający	
aussi			także	
après			po	
les messieurs			panowie	
les dames			panie	
l'oiseau			ptak	
chanter			śpiewać	
passer			spędzać	
bien			dobrze	
la journée			dzień	
en visite			z wizytą	
un dimanche			pewnej niedzieli	
leurs amis			ich przyjaciele	
en autobus			autobusem	
il dit à ...			on mówi do ...	
reste tranquille			siedź spokojnie	
bonjour monsieur			dzień dobry panu	
bonjour madame			dzień dobry pani	
chers amis			drodzy przyjaciele	
quel âge as-tu?			ile masz lat?	
ma soeur			moja siostra	
avec le chien			z psem	
les grandes personnes			dorośli	
ils passent bien			oni dobrze spędzają	
le lilas			bez	kwiat
le muguet			konwalia	
l'oeillet			goździk	
