Phrase	Grammar	Transcription	Translation	Notes
huit			osiem	
huitième			ósmy	
une promenade			spacer	
un pont			most	
musée			muzeum	
le magasin			sklep	
passer			przejść; przejechać	
arriver			przybywać	
nous sommes			jesteśmy	
enfin			w końcu; wreszcie	
belle			piękna	
une ville			miasto	
es-tu?			czy jesteś?	
content			zadowolony	
contente			zadowolona	
demander			pytać; zapytać	
je suis			jestem	
très			bardzo	
marcher			chodzić	
traverser			przechodzić; przejść przez	
une place			plac	
la Seine			Sekwana	
étroit			wąski	
tranquille			spokojny	
vieux			stary	
vieille			stara	
gris			szary	
grise			szara	
le toit			dach	
le quartier			dzielnica	
depuis			od	
midi			południe	
fatigué			zmęczony	
proposer			proponować	
le café			kawiarnia	
ici			tutaj	
là			tam	
là-bas			het; tam	
ils arrivent de			oni przybywają z	
pour la première fois			po raz pierwszy	
qu'est-ce que c'est?			co to jest?	
c'est			to jest	
ce sont			to są	
