Phrase	Grammar	Transcription	Translation	Notes
ὁ ἄνθρωπος			człowiek	
ἔχω			mam	
ὁ ὀφθαλμός			oko	
καί			i	
βλέπω			widzę	
ἕκαστος			każdy	
δύο			dwaj	
δέκα			dziesięć	
ὁ δάκτυλος			palec	
ὁ κόσμος			świat	
καλός			piękny	
ἐστί			jest	
τέ			i; również	
ὁ δημιουργός			twórca; sprawca	
ἀγαθός			dobry	
οἱ πολλοί			liczni; ogół; większość	
κακός			zły	
οἱ ὀλίγοι			nieliczni; mniejszość	
δέ			zaś; lecz	
ὡς			jak	
λέγω			mówię	
ὁ Ἡράκλειτος			Heraklit	
ὁ Ἐφέσιος			Efezyjczyk; z Efezu	
ὅτι			że	
οὐδέν			nic	
μένω			trwam; pozostaję	
ὁ ποταμός			rzeka	
ὁ αὐτός			ten sam	
ἐμβαίνω			wstępuję	
οὐ			nie	
χαίρω			cieszę się; witam	
ὁ διδάσκαλος			nauczyciel	
ἐν			w	
ὁ οἶκος			dom	
ὁ πλοῦτος			bogactwo	
πιστεύω			ufam; wierzę	
εἰς			do; w	
ὁ θεός			bóg	
εἰς ἐμέ			we mnie	
αὐτός			on; on sam	
ὁ Πιλᾶτος			Piłat	
ἰδού			oto	
