Phrase	Grammar	Transcription	Translation	Notes
ἄδηλος, -ον	V		unseen, indistinct	
ἡ ἀγρυπνία, -ας	Adj		sleeplessness, case	
ἀϊδιος, -ον	N		everlasting, eternal	
ὁ Ἅγαβος, -ου	N		Agabus	
ἄθεσμος, -ον	N		lawless, unprincipled	
ἡ ἀγριέλαιος, -ου	N		a wild olive tree	
ὁ Ἀβιούδ	N		Abiud	
ἡ ἀδελφότης, -ητος	V		brotherhood	
ἄγναφος, -ον	Adj		unshrunken, new	
ἡ ἀγγελία, -ας	N		a message	
ἀθλέω	N		to compete	
τό ὠτίον, -ου	N		an ear	
ὁ ἀγοραῖος, -ου	V		the marketplace	
ἡ ἁγνότης, -ητος	N		purity, chastity, sincerity	
ἡ ἀγνωσία, -ας	Adj		ignorance	
ὠδίνω	V		to have birth pangs, to travail in labor	
ὁ Ἀζώρ	V		Azor	
ἀδιάλειπτος, -ον	N		unceasing, constant	
ἡ ἀθέτησις, -εως	V		a setting aside, annulment	
ἀθέμιτος, -ον	V		unlawful, forbidden, disgusting	
ἀδυνατέω	Adj		to be unable	
ἡ Ἁγάρ	Adj		Hagar	
ἡ ἄγρα, -ας	Adv		a hunting, a catch	
Ἀθηναῖος, -α, -ον	V		Athenian	
ἡ ἁγνεία, -ας	N		purity	
ἀγαθοεργέω	Pre		to do good	
ἀθῷος, -ον	V		innocent	
αἰσχροκερδής, -ές	N		greedy of base gain, avaricious	
ἀληθεύω	V		to speak the truth	
ὁ Aἰνέας, -ου	V		Aeneas	
ἀμετάθετος, -ον	V		unchangeable	
ὁ Ἀλεξανδρεύς, -έως	N		an Alexandrian	
ἀλήθω	V		to grind	
ἁλίζω	V		to salt	
ἀκριβόω	N		to ascertain precisely	
ἀκάνθινος, -η, -ον	Adv		of thorns, thorny	
ἀκατάστατος, -ον	Adj		unstable, restless	
ἄκακος, -ον	N		guileless, innocent	
ὁ ἀλαζών, -ονος	N		a boaster, braggart	
ἀκατάκριτος, -ον	V		uncondemned, without trial	
αἰφνίδιος, -ον	V		sudden	
ὁ αἶνος, -ου	N		praise	
Ἀλεξανδρῖνος, -η, -ον	N		Alexandrian	
ἀκατακάλυπτος, -ον	N		uncovered	
ἀλαλάζω	V		to wail loudly	
ἀμέριμνος, -ον	V		free from care	
τό ἄλευρον, -ου	V		wheat flour	
ἡ ἀλαζονεία, -ας	N		pretension, arrogance	
ὁ Aἰθίοψ, -οπος	V		an Ethiopian	
ἀκρογωνιαῖος, -α, -ον	V		corner, cornerstone, capstone	
ἄμαχος, -ον	V		uncontentious, peaceable	
ἡ ἅλων, -ος	V		a threshing floor	
ἡ ἀκρασία, -ας	N		to lack of self-control, self-indulgence	
ἀμέμπτως	N		blamelessly	
ἀναλίσκω	Adj		to destroy, consume	
ἀναγεννάω	N		to beget again, cause to be born again	
ἡ ἀνακαίνωσις, -εως	V		renewal	
ἀναλύω	N		to loose, depart, return	
ἀνατίθημι	V		to set forth, declare	
ἀνακεφαλαιόω	N		to sum up, recapitulate	
ἀνάπτω	N		to kindle	
ἀναφαίνω	Adv		to bring to light, cause to appear	
τό ἀνάγαιον, -ου	V		upper room	
ἀναζάω	N		to live again, be resurrected	
ἀναίτιος, -ον	Adj		innocent	
ἀναθεωρέω	N		to observe carefully, examine, consider	
ἄμετρος, -ον	N		immeasurable	
ἀνάπειρος	V		crippled	
ἀνακαλύπτω	Adj		to uncover, unveil	
ἀναπολόγητος, -ον	V		without excuse, inexcusable	
ἀναδείκνυμι	Adv		to show clearly, reveal, appoint	
