Phrase	Grammar	Transcription	Translation	Notes
δέ	Conj		but, and	
ἐν	Pre		in (dat)	
ἐγώ	Pro		ja	
ὁ, ἡ, τό	Art		(rodzajnik określony)	
σύ	Pro		ty	
λέγω	V		mówić	
εἰς	Pre		into (acc)	
οὐ	Adv		nie	
αὐτός	Pro		on sam; ten sam; on	
αὐτή	Pro		ona sama; ta sama; ona	
αὐτό	Pro		to samo; ono; to	
καί	Conj		and, even, also	
εἰμί	V		jestem	
ἐπί	Pre		over, on, at the time of (gen); on the basis of, at (dat); on, to, against (acc)	
ὁ Χριστός	N		Pomazaniec; Chrystus; Mesjasz	
γίνομαι	V		stać się; zostać; być	
οὖν	Conj		then, accordingly	
ἵνα	Conj		in order that, that	
ποιέω	V		robić	
ὡς	Conj		as, that, how, about	
τίς, τί	Pro		kto? który? co? dlaczego?	
ὁ θεός	N		bóg; Bóg	
εἰ	Conj		if	
πᾶς, πᾶσα, πᾶν	Adj		all, every, all things	
πρός	Pre		to, towards, with (acc)	
ὅτι	Conj		that, because, since	
ἔρχομαι	V		to come, go	
μή	Part		not, lest	
γάρ	Conj		for	
ἐκ, ἐξ	Pre		out of, from (gen)	
Ἰησοῦς	N		Jezus; Jozue	
ἀπό	Pre		from (gen)	
ἔχω	V		mieć	
τὶς, τὶ	Pro		someone, something, a certain one, a certain thing, anyone, anything	
οὗτος, αὕτη, τοῦτο	Pro		this; he, she, it	
ὅς, ἥ, ὅ	Pro		who, which	
ὁ ἄνθρωπος	N		człowiek	
ἀλλά	Conj		but, except	
διά	Pre		through (gen); on account of (acc)	
ὁ κύριος	N		pan; Pan	
πιστεύω	V		wierzyć	
ἡ γῆ	N		ziemia	
πολύς, πολλή, πολύ	Adj		much, many (plural)	
ἑαυτοῦ, -ῆς, -οῦ	Pro		of himself	
ἐάν	Conj		if	
περί	Pre		concerning, about (gen); around (acc)	
ἀκούω	V		słuchać	
κατά	Pre		down from, against (gen); according to, during, throughout (acc)	
ἡ πίστις	Pro		wiara; zaufanie	
ὁράω	V		to see	
ὁ οὐρανός	N		niebo	
ὁ πατήρ	N		ojciec	
ὁ υἱός	N		syn	
μετά	Pre		with (gen); after (acc)	
λαμβάνω	V		to take, receive	
λαλέω	V		mówić	
οἶδα	V		to know	
ἤ	N		or	
δίδωμι	V		dać	
ὁ μαθητής	N		uczeń	
ἐκεῖνος	N		tamten	
ἐκεῖνη	N		tamta	
ἐκεῖνο	N		tamto	
τό πνεῦμα	N		duch; dusza	
μέγας	Adj		wielki	
μεγάλη	Adj		wielka	
μέγα	Adj		wielkie	
ἡ ἡμέρα	N		dzień	
εἷς	Adj		jeden	
μία	Adj		jedna	
ἕν	Adj		jedno	
ὁ ἀδελφός	N		brat	
ὁ λόγος	N		słowo; Słowo	
γράφω	V		pisać	
ἀποκρίνομαι	V		odpowiadać	
θέλω	V		to will, wish, desire	
Ἰουδαῖος, -α, -ον	Adj		Jewish, a Jew, Judea	
ὁ νόμος	N		prawo; Prawo	
ἅγιος, -α, -ον	Adj		holy; saints (plural noun)	
οὕτω, οὕτως	Adv		thus	
οὐδείς, οὐδεμία, οὐδέν	Pro		no one, none, nothing, no	
εἰσέρχομαι	V		to go or come in or into, enter	
τέ	N		and (enclitic weak connective particle)	
ἐξέρχομαι	V		to go out, come out	
δύναμαι	V		to be powerful, able	
ὑπό	Pre		by (gen); under (acc)	
ἰδού	Intrj		See! Behold! Look! Lo!	
ἡ γυνή	Conj		kobieta; żona	
τό ὄνομα	N		imię	
γινώσκω	V		to come to know, learn, know, realize	
καθώς	Conj		as, just as, even as	
ὁ ἄγγελος	N		anioł	
μέν	Part		on the one hand, indeed (postpositive particle often untranslated)	
ὁ ἀνήρ	N		mąż; mężczyzna	
ὁ κόσμος	N		świat	
ἡ χείρ	N		ręka	
εὑρίσκω	V		to find	
ὁ ὄχλος, -ου	N		a crowd, multitude	
παρά	Pre		from (gen); beside, in the presence of (dat); alongside of (acc)	
ἡ ἁμαρτία	N		grzech	
ἡ πόλις	N		miasto	
ἡ σάρξ	N		ciało	
ἄλλος, -η, -ο	N		other, another	
ἐγείρω	Pro		to raise up	
ὑπέρ	Pre		in behalf of (gen); above (acc)	
ἡ χάρις	V		łaska	
πορεύομαι	V		to go, proceed	
ὁ Παῦλος	N		Paweł	
