Phrase	Grammar	Transcription	Translation	Notes
τό ἔθνος, -ους	N		a nation; Gentiles (plural)	
ἡ βασιλεία, -ας	N		a kingdom	
ἄν	N		untranslatable particle - makes a statement contingent	
καλέω	V		to call, name invite	
νῦν	Adv		now	
τό ἔργον, -ου	N		work, deed	
τότε	Adv		then, at that time	
ἵστημι	Adj		to cause to stand, stand	
ἡ καρδία, -ας	N		the heart	
ὁ Πέτρος, -ου	N		Peter	
πρῶτος, -η, -ον	Adv		first	
ὅστις, ἥτις, ὅτι	V		whoever, whichever, whatever	
ἐσθίω	V		to eat	
ἕως	Pre		until; as far as (with gen)	
ἡ δόξα, -ης	Part		glory	
ὁ προφήτης, -ου	N		a prophet	
ὁ λαός, -οῦ	N		a people	
ὁ θάνατος, -ου	N		death	
ὁ ἀρχιερεύς, -έως	N		chief priest, high priest	
ἡ φωνή, -ῆς	N		a sound, voice	
δοῦλος, -η, -ον	N		a slave	
ἡ ζωή, -ῆς	N		life	
δύο	N		two	
ζάω	V		to live	
παραδίδωμι	V		to hand over, betray	
ἡ δύναμις, -εως	N		power	
ὁ Ἰωάννης, -ου	Adj		John	
ἀποστέλλω	V		to send	
σύν	Adj		with (dat)	
ἀφίημι	V		to let go, permit, forgive	
ὅταν	Conj		whenever	
ἀγαπάω	V		to love	
νεκρός, -ά, -όν	Pre		dead	
ἀγαθός, -ή, -όν	Adj		good	
μένω	V		to remain, abide	
ἀμήν	-		verily, truly, amen	
τό σῶμα, -τος	N		a body	
οὐδέ	Conj		and not, not even, neither, nor	
πάλιν	Adv		again	
ὁ αἰών, -ῶνος	V		an age	
βλέπω	V		to see	
βάλλω	N		to throw, put, cast	
μόνος, -η, -ον	Adj		alone, only	
ὅλος, -η, -ον	N		whole, all	
ἴδιος, -α, -ον	N		one's own	
ἡ ὥρα, -ας	V		an hour	
ἀποθνῄσκω	V		to die	
σῴζω	N		to save	
ὅτε	Conj		when	
ἡ ἀγάπη, -ης	N		love	
ἡ ἀλήθεια, -ας	Adj		truth	
ὁ οἶκος, -ου	V		a house, home	
κρίνω	Adv		to judge, decide	
δεῖ	V		it is necessary	
ἡ ψυχή, -ῆς	Adv		soul, life, self	
καλός, -ή, -όν	Adj		good	
ἀνίστημι	V		raise, bring to life; arise (intrans)	
ἡ ἐκκλησία, -ας	N		assembly, congregation, church	
ὅσος, -η, -ον	Pro		as great as, as many as	
ἀπέρχομαι	V		to depart, go away	
αἴρω	N		to take up, take away	
μέλλω	V		to be about to	
ὁ βασιλεύς, -έως	N		a king	
ἡ ἐξουσία, -ας	N		authority	
ἡ ὁδός, -οῦ	V		a way, road, journey	
ζητέω	V		to seek	
παρακαλέω	V		to beseech, urge, exhort, comfort	
πῶς	N		how?	
γεννάω	V		to beget	
ὁ ἄρτος, -ου	N		bread, a loaf	
ἀκολουθέω	V		to follow	
κάθημαι	V		to sit	
τό αἷμα, -τος	N		blood	
ἐκεῖ	Adv		there	
ὁ τόπος, -ου	N		a place	
ἀλλήλων, -ους, -ους	V		of one another	
διδάσκω	V		to teach	
ἔτι	N		still, yet, even	
ἡ δικαιοσύνη, -ης	N		righteousness	
ἐνώπιον	Pre		before (gen)	
ἕτερος, -α, -ον	N		other, another, different	
ὁ Φαρισαῖος, -ου	Adj		Pharisee	
περιπατέω	V		to walk	
τίθημι	Pro		to place	
τό τέκνον, -ου	N		a child	
ἡ θάλασσα, -ης	N		the sea	
ἡ οἰκία, -ας	Adv		a house	
φοβέομαι	V		to fear	
ὁ ὀφθαλμός, -οῦ	N		an eye	
ὁ πούς, ποδός	N		a foot	
ἡ εἰρήνη, -ης	N		peace	
πονηρός, -ά, -όν	Adj		evil	
ὁ καιρός, -οῦ	V		time, an appointed time	
ἀνοίγω	N		to open	
ἄρχω	V		to rule	
δίκαιος, -α, -ον	V		right, just, righteous	
ἑπτά	Adj		seven	
μᾶλλον	Adv		more, rather	
ἀναβαίνω	Conj		to go up	
ἀπόλλυμι	V		to destroy; to perish (middle)	
ἕκαστος, -η, -ον	V		each	
προσέρχομαι	V		to come to	
ὥστε	Conj		so that	
ἐκβάλλω	V		to cast out	
ὁ ἀπόστολος, -ου	N		an Apostle	
πέμπω	Adj		to send	
πληρόω	V		to fill, fulfill	
ὅπου	Adj		where, whither	
μηδείς, μηδεμία, μηδέν	Pro		no one	
