Phrase	Grammar	Transcription	Translation	Notes
גְבִינָה			cheese	L9
גַנָן			gardener	L9
זַיִת			olive	L9
יֶרֶק			vegetable	L9
מְסִיבָּה			party	L9
עַגְבֶנִיָיה			tomato	L9
פְּרַח			flower	L9
פְּרִי			fruit	L9
קַנְיוֹן			Shopping mall	L9
שוּק			market	L9
בְּהַצְלָחָה			Good luck!	L9
בֶּן כַּמָה			How old...?	L9
בַּת כַּמָה			How old...?	L9
לֹא חָשוּב			Never mind (lit. not important)	L9
סוֹף שָבוּעַ			weekend	L9
בָּרִיא			healthy	L9
מָתוֹק			sweet	L9
מְקַבֵּל			receive	Verb L9
מְשַלֵם			pay	Verb L9
שָׂם			put	Verb L9
אוֹפֶּרָה			opera	L9
טוּנָה			tuna	L9
סֶלֶרִי			celery	L9
צֶ'ק			check	L9
שְלוֹש עֶשְׂרֵה			thirteen	L9
אַרְבַּע עֶשְׂרֵה			fourteen	L9
חֲמֵש עֶשְׂרֵה			fifteen	L9
שֵש עֶשְׂרֵה			sixteen	L9
שְבַע עֶשְׂרֵה			seventeen	L9
שְמוֹנֶה עֶשְׂרֵה			eighteen	L9
תְשַע עֶשְׂרֵה			ninteen	L9
עֶשְׂרִים			twenty	L9
