Phrase	Grammar	Transcription	Translation	Notes
אַלְבּוֹם			album	Noun 2L9
אִכְפַּתִיוּת			caring / involvement	Noun 2L9
בְּדִידוּת			loneliness	Noun 2L9
בְּחִירוֹת			elections	Noun 2L9
הַפְגָנָה			protest / demonstration	Noun 2L9
הִתְפַּתְחוּת			development	Noun 2L9
כַּלְכְּלָן			economist	Noun 2L9
סַכָּנָה			danger	Noun 2L9
עֶזְרָה			assistance / help	Noun 2L9
עִירִיָיה			municipality	Noun 2L9
שַחְמָט			chess	Noun 2L9
שִינוּי			change	Noun 2L9
תְאוּנָה			accident	Noun 2L9
תַכְשִיט			jewelry	Noun 2L9
הִזְדַקֵן			aged	Verb 2L9
לְהִזְדַקֵן			to age	Verb 2L9
הִצְטָרֵף			join (to)	Verb 2L9
לְהִצְטָרֵף			to join (to)	Verb 2L9
הִתְגָרֵש			divorce (from)	Verb 2L9
לְהִתְגָרֵש			to divorce (from)	Verb 2L9
הִתְלַכְלֵךְ			become dirty	Verb 2L9
לְהִתְלַכְלֵךְ			to become dirty	Verb 2L9
הִתְפַּתֵחַ			develop	Verb 2L9
לְהִתְפַּתֵחַ			to develop	Verb 2L9
הִתְקַדֵם			progress	Verb 2L9
לְהִתְקַדֵם			to progress	Verb 2L9
הִתְקַשִר			phone / contact	Verb 2L9
לְהִתְקַשִר			to phone / contact	Verb 2L9
הִתְרַגִל			get used to	Verb 2L9
לְהִתְרַגִל			to get used to	Verb 2L9
עָסַק			be engaged in	Verb 2L9
לַעֲסוֹק			to be engaged in	Verb 2L9
פָּתַר			solve	Verb 2L9
לִפְתוֹר			to solve	Verb 2L9
אִכְפַּתִי			caring / involvement	Adjective 2L9
אִכְפַּתִית			caring / involvement	Adjective 2L9
חֶבְרָתִי			social	Adjective 2L9
חֶבְרָתִית			social	Adjective 2L9
מְעוֹרָב			involved	Adjective 2L9
מְעוֹרֶבֶת			involved	Adjective 2L9
עָסוּק			busy	Adjective 2L9
עֲסוּקָה			busy	Adjective 2L9
קְהִילָתִי			communal	Adjective 2L9
קְהִילָתִית			communal	Adjective 2L9
אִכְפַּת			care about	2L9
שַיָיך			belong to	2L9
