Phrase	Grammar	Transcription	Translation	Notes
יוֹדֵעַ			zna; wie	 
חֲדָשׁוֹת			wiadomości	
חֵצִי			połowa	
רֶבַע			ćwierć; kwadrans	
שָׁעָה			godzina	
שָׁעוֹן			zegar	
שֶׁקֶט			cisza	
אַז			wtedy	
אֵיזֶה מַזָל!			Co za szczęście!	
מָה הַשָׁעָה?			Która godzina?	
אַחַת	f		jedna	
שְׁתַיִים	f		dwie	
שָׁלוֹשׁ	f		trzy	
אַרְבַּע	f		cztery	
חָמֵשׁ	f		pięć	
שֵׁש	f		sześć	
שֶׁבַע	f		siedem	
שְׁמוֹנֶה	f		osiem	
תֵשַׁע	f		dziewięć	
עֶשֶׂר	f		dziesięć	
אַחַת עֶשְרֵה	f		jedenaście	
שְׁתֵים עֶשְרֵה	f		dwanaście	
סוֹנָטָה			sonata	
סִינִית			język chiński	
סֶנְדְוִויץ'			kanapka	
צִ'יפְּס			chipsy	
צֶ'כִית			język czeski	
צֶ'לוֹ			wiolonczela	
צֶ'מְבָּלוֹ			klawesyn	
קוֹנְצֶ'רטוֹ			koncert	
קֶטְשׁוֹפּ			keczup	
