Phrase	Grammar	Transcription	Translation	Notes
הוּא			on	
הִיא			ona	
סִפּוּר			opowiadanie	
בִּקּוּר			odwiedziny; wizyta	
עִפָּרוֹן			ołówek	
מְסִבָּה			przyjęcie; impreza	
לֹא			nie	
זֹאת			ta	
רֹאשׁ			głowa	
בֻּבָּה			lalka	
שֻׁלְחָן			stół	
תִקְוָה			nadzieja	
כָּוָנָה			zamiar	
וְעִידָה			konferencja	
חֹדֶשׁ			miesiąc	
יֹפִי			pięknie! wspaniale!	
יוֹסֵף			Józef	
רָחֵל			Rachela	
יַעֲקֹב			Jakub	
מֹשֶה			Mojżesz	
מִכְתָּב			list	
מִשְׁפָּחָה			rodzina	
שִׂמְלָה			sukienka	
לְהִתְרָאוֹת			do widzenia	
יִשְׂרָאֵל			Izrael	
חֲנֻכָּה			Chanuka	
חֻלְצָה			koszula	
מִזְוָדָה			walizka	
רַוָק			kawaler	
צַו			rozkaz	
חָדָשׁ			nowy	
קַו			linia	
שִׁעוּר			lekcja	
עֲבוֹדָה			praca	
מָתַי?			kiedy?	
לָמָּה?			dlaczego?	
חַלּוֹן			okno	
דֶּלֶת			drzwi	
כֶּלֶב			pies	
בַּיִת			dom	
דְּרִשַׁת שָׁלוֹם			pozdrowienie	
אֱלֹהִים			Bóg	
מָסֹרֶת			tradycja	
זֶה			ten	
יָד			ręka	
יָדַיִם	pl		ręce	
צַלַּחַת			talerz	
צַלָּחוֹת	pl		talerze	
דִּיאֵטָה			dieta	
סְלִיחָה			przepraszam	
תַּרְגִּיל			ćwiczenie	
מַחְבֶּרֶת			zeszyt	
מַחְבָּרוֹת	pl		zeszyty	
מְעִיל			płaszcz	
חֻלְצָה			koszula	
רוֹפֵא			lekarz	
חוֹלֶה			chory	
בְּעָיָה			problem	
תַשְׁבֵּץ			krzyżówka	
כֶּסֶף			pieniądze	
הַרְבֵּה			dużo	
דִּירָה			mieszkanie	
מְכוֹנִית			samochód	
