Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
חַלּוֹן			okno	
בְּ			w; z	
וְ			i; a	
מַה?			co? jak?	
אַיֵּה?			gdzie?	
שְׁאֵלָה			pytanie	
תְּשׁוּבָה			odpowiedź	
בַּיִת			dom	
חֶדֶר			pokój	
יֵשׁ			jest; istnieje	
תִּקְרָה			powała; sufit	
רִצְפָּה			podłoga	
קִיר			ściana	
דֶּלֶת			drzwi	
# === 2 ===
פִּנָּה			kąt	
אֵיפֹה?			gdzie?	
שֶׁל־מִי?			czyj?	
לְ			do	
תַּנּוּר			piec	
עַל			na; nad	
גַּג			dach	
תְּמוּנָה			obraz	
עוֹמֵד			stoi	
# === 3 ===
אָב			ojciec	
אֵם			matka	
רַק			tylko	
הוּא			on	
אִישׁ			mężczyzna; człowiek	
טוֹב			dobry	
מְאֹד			bardzo	
אָח			brat	
אֲשֶׁר			który; że	
חָכָם			mądry	
קָטָן			mały	
גָּדוֹל			duży; wielki	
גַּם			także	
הֲ?			czy?	
הַאִם?			czy?	
כֵּן			tak; tak jest	
לֹא			nie	
מִי?			kto?	
לְמִי?			komu?	
שָׁנָה			rok	
אֲשֶׁר לְ			który należy	
# === 4 ===
אָנֹכִי			ja	
אוֹהֵב			kocha; lubi	
נָתַן			dał	
סֵפֶר			książka	
כָּל־			każdy; wszystek; cały; wszelki	
אֶחָד			jeden	
גָּבֹהַּ			wysoki	
אֲרֻבָּה			komin	
מִן			z; od	
יוֹצֵא			wychodzi	
עָשָׁן			dym	
כִּי			bo; ponieważ	
נַעַר			chłopiec	
רַע			zły	
עוֹד			jeszcze	
כַּמָּה?			ile?	
לָמָּה?			dlaczego? na co?	
אֶת־מִי?			kogo?	
# === 5 ===
אֲשֶׁר			który; że	
מוֹרֶה			nauczyciel	
תַּלְמִיד			uczeń	
מְלַמֵּד			uczy	
יוֹם			dzień	
חָרוּץ			pilny	
לוֹמֵד			uczy się	
הֵיטֵב			dobrze	
רַבִּים			wiele; liczni	
הַיּוֹם			dziś	
יַפֶה			ładny	
מַתָּנָה			dar; podarunek	
קוֹרֵא			czyta	
סִפּוּר			opowiadanie; powieść	
מָתַי?			kiedy?	
מַדּוּעַ?			dlaczego?	
# === 6 ===
כּוֹתֵב			pisze	
שִׁעוּר			zadanie; lekcja	
מַחְבֶּרֶת			zeszyt	
נְיָר			papier	
עֵט			pióro	
רָהִיט			mebel	
יוֹשֵׁב			siedzi	
כִּסֵּא			krzesło	
