Phrase	Grammar	Transcription	Translation	Notes
अख़बार			gazeta
अध्यापक			nauczyciel
अभी			teraz; w tej chwili
आज			dzisiaj
और			ponadto; inny
कागज़			papier
कितना			ile; wiele
किताब			książka
कृपया			proszę
कैसा			jaki; jak
कौन			kto
क्या			co
क्यों			dlaczego
क्योंकि			ponieważ
ख़राब			zły
खुश			szczęśliwy
गंदा			brudny
चप्पल			sandał
चिट्ठी			list; notatka
छात्र			student
छात्रा			studentka
जवाब			odpowiedź
जूता			but; para butów
ज़्यादातर			większość
दिल्ली			Delhi
दुबला			cienki
दुबला-पतला			szczupły
धन्यवाद			dziękuję
न			nie; czyż nie?
नमस्कार			dzień dobry; do widzenia
नया			nowy
नाराज़			zagniewany; niezadowolony
नौ			dziewięć
पतला			cienki
पर			ale
परेशान			zmartwiony
पाँच			pięć
प्रदूषण			zanieczyszczony
पागल			szalony
बहिन			siostra
बात			rzecz
बिलकुल			zupełnie; całkowicie
बिलकुल नहीं			wcale nie
बीमार			chory
बुरा			zły
बेटा			syn
बेटी			córka
भाई			brat
भी			także; też
महँगा			drogi
मालूम नहीं			nie wiem
मेहरबानी			uprzejmość
मैडम			proszę pani
मोटा			gruby
मौसम			pogoda
या			lub
रामायण			Ramayana	epos
लंबा			wysoki
विद्यार्थी			student
शब्दकोश			słownik
श्री			pan
श्रीमती			pani
सख़्त			srogi; surowy
सब			wszystko
सर			proszę pana
सवाल			pytanie
सस्ता			tani
साहब			proszę pana
सोमवार			poniedziałek
सोलह			szesnaście
हेलो			halo
हवा			pogoda
हाल			stan
हिन्दी			Hindi
