Phrase	Grammar	Transcription	Translation	Notes
अंक	m		number, figure, issue (of journal), mark	
अंग	m		limb	
अँगूठा	m		thumb	
अँगूठी	f		ring (for finger	
अंगूर	m		grape	
अँग्रेज़	m		English person	
अँग्रेज़ी	f		(adj. &amp; noun) English; the English language	
अंडा	m		egg	
अंत	m		end	
अंतर	m		difference	
अंतर्राष्ट्रीय			international	
अंतिम			final	
अंत्येष्टि	f		funeral	
अंदर			inside	
अन्दाज़ा	m		guess, estimate	
अंधविश्वास	m		superstition	
अंधा	m		(adj. &amp; noun) blind; blind man	
अंधापन	m		blindness	
अँधेरा	m		dark; darkness	
अकेला			alone	
अकेलापन	m		loneliness	
अकेले			alone (adverb)	
अक्तुबर	m		[aktu:bar] October	
अक्षर	m		syllable, letter	
अक्सर			usually, often	
अख़बार	m		newspaper	
अख़बार-वाला	m		newspaper-seller	
अगर			if	
अगरबत्ती	f		joss stick	
अगला			next	
अगस्त	m		August	
अचानक			suddenly	
अचार	m		pickle	
अच्छा			good, nice	
अच्छाई	f		good, merit	
अजनबी	m		stranger	
अजीब			strange, peculiar	
अठानवे			ninety-eight	
अट्ठावन			[aṭṭhāvan] fifty-eight	
अठासी			eighty-eight	
अठहत्तर			seventy-eight	
अठाईस			twenty-eight	
अठारह			eighteen	
अड़तालीस			forty-eight	
अड़तीस			thirty-eight	
अड़सठ			sixty-eight	
अड्डा	m		stand, base, haunt	
अतिथि	m		guest	
अतिरिक्त			extra, additional	
अतिवाद	m		extremis	
अतिवादी			extremist (adj. &amp; noun; m.)	
अतिशयोक्ति	f		exaggeration	
अत्यंत			extremely, exceedingly	
अथवा			or	
अदरक	m		ginger	
अदालत	f		court of law	
अदा	f		grace, charm; flirtatious gesture	
अदा करना			to fulfil, perform, pay	
अदृश्य			invisible, unseen	
अद्भुत			[adbhut] remarkable, astonishing, wonderful	
अधिक			much, more	
अधिक से अधिक			at the most, the maximum possible	
अधिकार	m		right, authority	
अधिकारी	m		officer, official	
अधेड़			middle-aged	
अध्यक्ष	m		head, chairman	
अध्यक्षता	f		chairmanship, chairing	
अध्ययन	m		study, reading	
अध्यापक	m		teacher	
अध्यापिका	f		teacher	
अध्याय	m		chapter	
अनदेखा करना			to ignore	
अनपढ़			illiterate	
अनबन	f		discord, dispute	
अनमना			out of sorts	
अनाथ	m		orphan, helpless person	
अनाथालय	m		orphanage	
अनादर	m		disrespect	
अनिवार्य			obligatory, essential, unavoidable, indispensable	
अनिश्चित			undecided, indefinite	
अनुनासिक	m		(adj. &amp; noun) nasal (in phonetics); the sign [chandrabindu] that indicates a nasalized vowel	
अनुभव	m		experience	
अनुभवी			experienced	
अनुमति	f		permission	
अनुमान	m		estimate, guess, conjecture	
अनुयायी	m		follower	
अनुरोध	m		entreaty, request	
अनुवाद	m		translation	
अनुशासन	m		discipline, control	
अनेक			many	
अनौपचारिक 			informal	
अन्य 			other	
अपना			one's own	
अपनाना 			to adopt, make one's own	
अपमान	m		disrespect	
अपमानित करना			to disrespect, show disrespect	
अपराध	m		offence, crime	
अपराधी	m		(adj. &amp; noun) guilty; criminal	
अपवाद	m		exception	
अपार			boundless	
अप्रैल 	m		April	
अफ़वाह 	f		rumour	
अफ़सर	m		officer, official	
अफ़सोस	m		regret, pity	
अब			now	
अब की बार			this time	
अभिनेता	m		actor	
अभिनेत्री	f		actress	
अभिलाषा	f		desire	
अभी			right now	
अभी तक			yet	
अभ्यास	m		practice	
अमरीकन			American (m.) (adj. &amp; noun)	
अमरीका	m		America	
अमीर			rich, wealthy	
अमरूद	m		guava	
अरब [1]	m		an Arab; Arabia	
अरब [2]			a thousand million, a billion	
अरबी	m		Arabian (adj. &amp; noun); the Arabic language	
अरे			hey!; oh!	
अर्ज़ी	f		application	
अर्ज़ी देना			to apply	
अर्थ	m		meaning	
अर्थशास्त्र	m		economics	
अलग			separate, different	
अल्प			little	
अलमारी	f		cupboard	
अवतार	m		incarnation	
अवधि [avadhi]	f		set period of time, a while; limit of time	
अवधि [avdhi]	f		a dialect of Hindi: the language of Awadh (formerly 'Oudh') in Uttar Pradesh	
अवश्य			certainly, of course	
अवसर	m		occasion, time, opportunity, chance	
अविवाहित			unmarried	
अवैध			illegal	
अश्लील			obscene, vulgar	
असंतुष्ट			dissatisfied	
असम्भव			impossible	
असफल			unsuccessful	
असर	m		effect, impact	
असर पड़ना			to have an effect	
असल में			in fact, really	
असली			real, genuine	
असहमति	f		[asahmati] disagreement, difference of opinion	
असहयोग	m		non-co-operation	
असुविधा	f		inconvenience	
अस्थायी			impermanent, temporary	
अस्पताल	m		hospital	
अहंकार	m		pride, egois	
अहम			important	
अहमियत	f		importance	
आँख	f		eye	
आँखें चार होना			two people's gaze to meet	
आँगन	m		courtyard	
आंदोलन	m		movement (social or political	
आँसू	m		tear	
