Phrase	Grammar	Transcription	Translation	Notes
Ko ste vi?			Kim pan jest?	
Gde živite?			Gdzie pan mieszka?	
Ovo je moj drug.			To jest mój mąż.	
ovo			to	
je			jest	
naš			nasz	
sin			syn	
roditelji			rodzice	
imam			mam	
još			jeszcze	
sestru			siostrę	kogo?
živi			mieszka	
u Beogradu			w Belgradzie	
ja			ja	
ti			ty	
on			on	
ona			ona	
ono			ono	
mi			my	
vi			wy	
oni			oni	
one			one	rodzaj żeński
ona			one	rodzaj nijaki
jesam			jestem	
jesi			jesteś	
jest			jest	
jesmo			jesteśmy	
jeste			jesteście	
jesu			są	
ja sam			ja jestem	
ti si			ty jesteś	
on je			on jest	
mi smo			my jesteśmy	
vi ste			wy jesteście	
oni su			oni są	
drug			towarzysz	
drugarica			towarzyszka	
ja živim			ja mieszkam	
ti živiš			ty mieszkasz	
on živi			on mieszka	
mi živimo			my mieszkamy	
vi živite			wy mieszkacie	
oni žive			oni mieszkają	
