Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
ablak			okno	
ajtó			drzwi	
az			tamten; ten; ta; to	przedimek określony
diák			student; uczeń	
és			i; a	
ez			ten; ta; to	
fal			ściana	
igen			tak	
ki?			kto?	
mennyezet			sufit	
mi?			co?	
nem			nie	
padló			podłoga	
szoba			pokój; izba	
tanár			profesor; nauczyciel; wykładowca	
# === 2 ===
az			tamten; ten; ta; to	przedimek określony
a			-	przedimek określony; rodzajnik określony
alacsony			niski; niewysoki	
asztal			stół	
barna			brązowy	
fehér			biały	
fekete			czarny	
hosszú			długi	
keskeny			wąski	
kréta			kreda	
magas			wysoki	
milyen?			jaki?	
nagy			wielki; duży	
piszkos			brudny	
szék			krzesło	
széles			szeroki	
tábla			tablica	
tiszta			czysty	
# === 3 ===
ceruza			ołówek	
érdekes			interesujący; ciekawy	
függöny			firanka	
füzet			zeszyt	
gyönyörű			wspaniały	
jó			dobry	
könyv			książka	
is			i; też; także	
lámpa			lampa	
lecke			lekcja	
rövid			krótki	
szorgalmas			pilny	
tehát			więc	
toll			pióro; długopis	
vastag			gruby	
vékony			cienki	
rossz			zły	
# === 4 ===
asszony			mężatka	
de			ale; lecz	
elvtárs			towarzysz	
férfi			mężczyzna	
fiú			chłopiec	
gyerek			dziecko	
ha			jeżeli	
hol?			gdzie?	
itt			tu; tutaj	
kép			obraz; obrazek; ilustracja	
leány			dziewczyna	
mérnök			inżynier	
munkás			robotnik	
nő			kobieta	
orvos			lekarz	
ott			tam	
szekrény			szafa	
