Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
ágy			łóżko	
állat			zwierzę	
alma			jabłko	
amerikai			amerykański; Amerykanin	
amerikai nő			Amerykanka	
angol			angielski; Anglik	
angol nő			Angielka	
autó			samochód	
autóbusz			autobus	
banán			banan	
berlini			berliński; Berlińczyk	
beteg			chory	
bicikli			rower	
bokor			krzew; krzak	
bor			wino	
bögre			kubek; kufel	
bőrönd			walizka	
budapesti			budapeszteński; mieszkaniec Budapesztu	
busz			autobus	
csinos			atrakcyjny	
drága			drogi	
dühös			zdenerwowany; rozwścieczony	
egér			mysz	także komputerowa
egy			jeden; jakiś; pewien	rodzajnik nieokreślony
éhes			głodny	
ember			człowiek	
én			ja	
épület			budynek	
erős			silny	
étterem			restauracja	
éves			...letni	
fa			drzewo	
fáradt			zmęczony	
fiatal			młody	
film			film	
francia			francuzki; Francuz	
francia nő			Francuzka	
friss			świeży	
galamb			gołąb	
görög			grecki; Grek	
görög nő			Greczynka	
gyors			szybki; pospieszny	
gyümölcs			owoc	
hajó			statek	
hány?			ile?	
ház			dom	
híd			most	
idegenvezető			przewodnik-tłumacz	
informatikus			informatyk	
ing			koszula	
iskola			szkoła	
joghurt			jogurt	
karcsú			cienki; szczupły	
kék			niebieski	
kenguru			kangur	
kényelmes			wygodny	
kényelmetlen			niewygodny	
kenyér			chleb	
kerek			okrągły	
kert			sad	
kevés			mało, niedużo; mało	
kicsi			mały	
kő			kamień	
könnyű			lekki	
könyvesbolt			księgarnia	
körte			grusza	
kulcs			klucz	
kutya			pies	
labda			piłka	
lány			dziewczyna	
lassú			powolny	
lift			winda	
ló			koń	
macska			kot	
madár			ptak	
magyar			węgierski; Węgier	
magyar nő			Węgierka	
magyartanár			nauczyciel języka węgierskiego	
mennyi?			ile?	
mi			my	
mobilí(telefon)			telefon komórkowy	
modern			współczesny; nowoczesny	
nehéz			ciężki	
nem ..., hanem ...			nie ..., a ...	
német			niemiecki; Niemiec	
német nő			Niemka	
notesz			notes	
okos			mądry	
olasz			włoski; Włoch	
olasz nő			Włoszka	
olcsó			tani	
óra			lekcja; zegar; godzina	
orosz			rosyjski; Rosjanin	
orosz nő			Rosjanka	
ő			on; ona	
öreg			stary; w podeszłym wieku	
örül			cieszyć się	
pályaudvar			dworzec	
park			park	
pincér			kelner	
piros			czerwony	
programozó			programista	
régi			stary	znoszony
rendőr			policjant	
repülőtér			lotnisko	
ruha			ubranie; suknia	
sárga			żółty	
sem			też nie	
sofőr			kierowca	
sok			dużo	
sör			piwo	
sötét			ciemny	
spanyol			hiszpański; Hiszpan	
spanyol nő			Hiszpanka	
szálloda			hotel	
számítógép			komputer	
szép			ładny	
szilva			śliwa	
szomjas			spragniony	
Szomjas vagyok.			Chce mi się pić.	
szomorú			smutny	
szótár			słownik	
szőke			jasnowłosy; blondyn	
szürke			szary	
tanárnő			nauczycielka	
táska			teczka	
taxi			taksówka	
te			ty	
tér			plac	
tévé			telewizor; telewizja	
televízió			telewizor; telewizja	
ti			wy	
tolmács			tłumacz	
tolmácsnő			tłumaczka	
törülköző			ręcznik	
troli			trolejbus	
trolibusz			trolejbus	
turista			turysta	
tükör			lustro	
új			nowy	
unalmas			nudny	
utca			ulica	
üzletember			biznesmen	
város			miasto	
veréb			wróbel	
vidám			wesoły	
világos			jasny	
villamos			tramwaj; elektryczny	
vonat			pociąg	
WC			ubikacja	
zöld			zielony	
Csehország			Czechy	
Esztország			Estonia	
Finnország			Finlandia	
Franciaország			Francja	
Görögország			Grecja	
Horvátország			Chorwacja	
Lengyelország			Polska	
Lettország			Łotwa	
Magyarország			Węgry	
Németország			Niemcy	
Olaszország			Włochy	
Oroszország			Rosja	
Örményország			Armenia	
Spanyolország			Hiszpania	
Svédország			Szwecja	
Törökország			Turcja	
Anglia			Anglia	
Ausztrália			Australia	
Ausztria			Austria	
Belgium			Belgia	
Belorusszia			Białoruś	
Fehéroroszország			Białoruś	
Bulgária			Bułgaria	
Dánia			Dania	
Grúzia			Gruzja	
Hollandia			Holandia	
India			Indie	
Japán			Japonia	
Kanada			Kanada	
Kazahsztán			Kazachstan	
Kína			Chiny	
Korea			Korea	
Litvánia			Litwa	
Moldova			Mołdawia	
Norvégia			Norwegia	
Portugália			Portugalia	
Románia			Rumunia	
Svájc			Szwajcaria	
Szlovákia			Słowacja	
Szlovénia			Słowenia	
Tádzsikisztán			Tadżykistan	
Türkmenisztán			Turkmenistan	
Ukrajna			Ukraina	
Üzbegisztán			Uzbekistan	
Vietnam			Wietnam	
Afrika			Afryka	
Ázsia			Azja	
Európa			Europa	
Amerika			Ameryka	
ablak			okno	
ajtó			drzwi	
az			tamten; ten; ta; to	przedimek określony
diák			student; uczeń	
és			i; a	
fal			ściana	
ki?			kto?	
mi?			co?	
nem			nie	
szoba			pokój; izba	
tanár			profesor; nauczyciel; wykładowca	
a			-	przedimek określony; rodzajnik określony
alacsony			niski; niewysoki	
asztal			stół	
barna			brązowy	
fehér			biały	
fekete			czarny	
hosszú			długi	
keskeny			wąski	
magas			wysoki	
milyen?			jaki?	
nagy			wielki; duży	
piszkos			brudny	
szék			krzesło	
széles			szeroki	
tiszta			czysty	
ceruza			ołówek	
érdekes			interesujący; ciekawy	
jó			dobry	
könyv			książka	
is			i; też; także	
rövid			krótki	
toll			pióro; długopis	
vastag			gruby	
vékony			cienki	
rossz			zły	
férfi			mężczyzna	
fiú			chłopiec	
gyerek			dziecko	
kép			obraz; obrazek; ilustracja	
mérnök			inżynier	
nő			kobieta	
orvos			lekarz	
