Phrase	Grammar	Transcription	Translation	Notes
a			-	rodzajnik określony
ablak			okno	
ágy			łóżko	
ajtó			drzwi	
alacsony			niski; niewysoki	
állat			zwierzę	
alma			jabłko	
amerikai			amerykański; Amerykanin	
amerikai nő			Amerykanka	
angol			angielski; Anglik	
angol nő			Angielka	
asztal			stół	
autó			samochód	
autóbusz			autobus	
az			ten; ta; to	
banán			banan	
barna			brązowy	
berlini			berliński; Berlińczyk	
beteg			chory	
bicikli			rower	
bokor			krzew; krzak	
bor			wino	
bögre			kubek; kufel	
bőrönd			walizka	
budapesti			budapeszteński; mieszkaniec Budapesztu
busz			autobus	
ceruza			ołówek	
csinos			atrakcyjny	
diák			student	
drága			drogi	
dühös			zdenerwowany; rozwścieczony	
egér			mysz	także komputerowa
egy			jeden
egy			jakiś; pewien	rodzajnik nieokreślony
éhes			głodny	
ember			człowiek	
én			ja	
épület			budynek	
érdekes			interesujący	
erős			silny	
és			i	
étterem			restauracja	
éves			...letni	
fa			drzewo	
fal			ściana	
fáradt			zmęczony	
fehér			biały	
fekete			czarny	
férfi			mężczyzna	
fiatal			młody	
film			film	
fiú			chłopiec	
francia			francuzki; Francuz	
francia nő			Francuzka	
friss			świeży	
galamb			gołąb	
görög			grecki; Grek	
görög nő			Greczynka	
gyerek			dziecko	
gyors			szybki; pospieszny
gyümölcs			owoc	
hajó			statek	
hány?			ile?	
ház			dom	
híd			most	
hosszú			długi	
idegenvezető			przewodnik-tłumacz	
informatikus			informatyk	
ing			koszula	
is			także; też	
iskola			szkoła	
jó			dobry	
joghurt			jogurt	
karcsú			szczupły; cienki	
kék			niebieski	
kenguru			kangur	
kényelmes			wygodny	
kényelmetlen			niewygodny	
kenyér			chleb	
kép			obrazek; ilustracja	
kerek			okrągły	
kert			sad	
keskeny			wąski	
kevés			mało, niedużo	
ki?			kto?	
kicsi			mały	
kő			kamień	
könnyű			lekki	
könyv			książka	
könyvesbolt			księgarnia	
körte			grusza	
kulcs			klucz	
kutya			pies	
labda			piłka	
lány			dziewczyna	
lassú			powolny	
lift			winda	
ló			koń	
macska			kot	
madár			ptak	
magas			wysoki	
magyar			węgierski; Węgier	
magyar nő			Węgierka	
magyartanár			nauczyciel języka węgierskiego	
mennyi?			ile?	
mérnök			inżynier	
mi?			co?	
mi			my	
milyen?			jaki?
mobilí(telefon)			telefon komórkowy	
modern			współczesny; nowoczesny	
nagy			duży	
nehéz			ciężki	
nem			nie	
nem ..., hanem ...			nie ..., a ...	
német			niemiecki; Niemiec	 
német nő			Niemka	
notesz			notes	
nő			kobieta	
okos			mądry	
olasz			włoski; Włoch	
olasz nő			Włoszka	
olcsó			tani	
óra			zegar; godzina; lekcja	
orosz			rosyjski; Rosjanin	
orosz nő			Rosjanka	
orvos			lekarz	
ő			on; ona	
öreg			stary; w podeszłym wieku	
örül			cieszyć się	
pályaudvar			dworzec	
park			park	
pincér			kelner	
piros			czerwony	
piszkos			brudny	
programozó			programista	
régi			stary	znoszony
rendőr			policjant	
repülőtér			lotnisko	
rossz			zły	
rövid			krótki	
ruha			ubranie; suknia	
sárga			żółty	
sem			też nie	
sofőr			kierowca	
sok			dużo	
sör			piwo	
sötét			ciemny	
spanyol			hiszpański; Hiszpan	
spanyol nő			Hiszpanka	
szálloda			hotel	
számítógép			komputer	
szék			krzesło	
széles			szeroki	
szép			ładny	
szilva			śliwa	
szoba			pokój; izba
szomjas			spragniony	
Szomjas vagyok.			Chce mi się pić.
szomorú			smutny	
szótár			słownik	
szőke			jasnowłosy; blondyn	
szürke			szary	
tanár			nauczyciel	
tanárnő			nauczycielka	
táska			teczka	
taxi			taksówka	
te			ty	
tér			plac	
tévé			telewizor; telewizja	
televízió			telewizor; telewizja	
ti			wy	
tiszta			czysty	
toll			długopis	
tolmács			tłumacz	
tolmácsnő			tłumaczka	
törülköző			ręcznik	
troli			trolejbus	
trolibusz			trolejbus	
turista			turysta	
tükör			lustro	
új			nowy	
unalmas			nudny	
utca			ulica	
üzletember			biznesmen	
város			miasto	
vastag			gruby	
vékony			cienki	
veréb			wróbel	
vidám			wesoły	
világos			jasny	
villamos			tramwaj; elektryczny	
vonat			pociąg	
WC			ubikacja	
zöld			zielony	
Csehország			Czechy	
Esztország			Estonia	
Finnország			Finlandia	
Franciaország			Francja	
Görögország			Grecja	
Horvátország			Chorwacja	
Lengyelország			Polska	
Lettország			Łotwa	
Magyarország			Węgry	
Németország			Niemcy	
Olaszország			Włochy	
Oroszország			Rosja	
Örményország			Armenia	
Spanyolország			Hiszpania	
Svédország			Szwecja	
Törökország			Turcja	
Anglia			Anglia	
Ausztrália			Australia	
Ausztria			Austria	
Belgium			Belgia	
Belorusszia			Białoruś	
Fehéroroszország			Białoruś
Bulgária			Bułgaria	
Dánia			Dania	
Grúzia			Gruzja	
Hollandia			Holandia	
India			Indie	
Japán			Japonia	
Kanada			Kanada	
Kazahsztán			Kazachstan	
Kína			Chiny	
Korea			Korea	
Litvánia			Litwa	
Moldova			Mołdawia	
Norvégia			Norwegia	
Portugália			Portugalia	
Románia			Rumunia	
Svájc			Szwajcaria	
Szlovákia			Słowacja	
Szlovénia			Słowenia	
Tádzsikisztán			Tadżykistan	
Türkmenisztán			Turkmenistan	
Ukrajna			Ukraina	
Üzbegisztán			Uzbekistan	
Vietnam			Wietnam	
Afrika			Afryka	
Ausztrália			Australia	
Ázsia			Azja	
Európa			Europa	
Amerika			Ameryka	
