Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
ablak			okno	
ki?			kto?	
mi?			co?	
itt			tu; tutaj	
fa			drzewo	
fiatal			młody	
van			jest	
mama			mama	
papa			tata	
lakik			mieszka	
# === 2 ===
tanár			profesor; nauczyciel; wykładowca	
barna			brązowy	
tábla			tablica	
is			i; też; także	
park			park	
már			już	
vár			czeka	
lakás			mieszkanie	
párttitkár			sekretarz partii	
áll			stoi	
kalap			kapelusz	
sál			szalik	
párna			poduszka	
raktár			skład	
ma			dzisiaj	
naptár			kalendarz	
vasárnap			niedziela	
pad			ławka	
# === 3 ===
állomás			stacja	
katona			żołnierz	
kórház			szpital	
hatos			szóstka	
pártnap			otwarte zebranie partii	
tábor			obóz	
tábornok			generał	
# === 4 ===
fehér			biały	
fekete			czarny	
híd			most	
kevés			mało, niedużo; mało	
sok			dużo	
most			teraz	
feketekávé			czarna kawa	
tejeskávé			kawa z mlekiem	
kifli			rożek	
dél			południe	
este			wieczór	
reggel			ranek	
éjjel			noc	
nappal			dzień	
mindig			zawsze	
soha			nigdy	
késik			spóźnia się	
siet			spieszy się	
forró			gorący	
hideg			zimny	
# === 5 ===
jó			dobry	
rossz			zły	
friss			świeży	
régi			stary	znoszony
új			nowy	
munkanélküli			bezrobotny	
után			po	
kés			nóż	
haza			do domu	
egész			cały	
kész			gotowy	
villa			widelec	
kanál			łyżka	
leves			zupa	
dolgozik			pracuje	
vacsora			kolacja	
jól			dobrze	
rosszul			źle	
munkanap			dzień roboczy	
munkaszünet			dzień wolny od pracy	
a vacsora alatt			podczas kolacji	
a háború alatt			podczas wojny	
Mi újság?			Co nowego?	
Semmi.			Nic nowego.	
# === 6 ===
alacsony			niski; niewysoki	
hosszú			długi	
magas			wysoki	
nagy			wielki; duży	
rövid			krótki	
egy			jeden; jakiś; pewien	rodzajnik nieokreślony
fiatal			młody	
kicsi			mały	
öreg			stary; w podeszłym wieku	
Magyarország			Węgry	
Budapest			Budapeszt	
népköztársaság			republika narodowa	
főváros			stolica	
falu			wieś	
sziget			wyspa	
felett			nad	
körül			wokół	
előtt			przed	
Margit-híd			most imienia Margit	
alatt			pod	
fölött			nad	
kettő			dwa	
három			trzy	
négy			cztery	
öt			pięć	
hat			sześć	
hét			siedem	
nyolc			osiem	
kilenc			dziewięć	
tíz			dziesięć	
