Phrase	Grammar	Transcription	Translation	Notes
Magyarország			Węgry	
Budapest			Budapeszt	
népköztársaság			republika narodowa	
főváros			stolica	
falu			wieś	
sziget			wyspa	
felett			nad	
körül			wokół	
előtt			przed	
Margit-híd			most imienia Margit	
nagy			duży	
kicsi			mały	
fiatal			młody	
öreg			stary	
alatt			pod	
felett			nad	
fölött			nad	
magas			wysoki	
alacsony			niski	
hosszú			długi	
rövid			krótki	
egy			jeden	
kettő			dwa	
három			trzy	
négy			cztery	
öt			pięć	
hat			sześć	
hét			siedem	
nyolc			osiem	
kilenc			dziewięć	
tíz			dziesięć	
