Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
selamat malam			dobry wieczór	
nama			imię	
saya			ja	
orang			osoba; człowiek; człowiek, osoba	
pegawai			pracownik; personel; urzędnik	
maaf			przepraszam	
anda			ty	
siapa			kto	
toko			sklep	
pakaian			ubranie	
ini			to; ten	
isteri			żona	
sekretaris			sekretarka	
Inggeris			angielski; Anglia	
dia			on; ona; ono	
di			w; na	
kantor			biuro	
bekerja			pracować	
dan			i	
Saudara			pan; proszę pana; proszę pani; brat; siostra; towarzysz; obywatel	
kabar			wiadomość	
apa kabar			co słychać	
siang			południe	
bagaimana			jak	
terima kasih			dziękuję	
juga			także; także, też; również	
sehat			zdrowy	
teman			przyjaciel	
guru			nauczyciel	
Tuan			pan	
murid			uczeń	
Nyonya			pani	
bahasa			język	
wisatawan			turysta	
suami			mąż	
Amerika			amerykański; Ameryka	
Jepang			japoński; Japonia	
buku			książka	
pos			poczta	
pergi			iść; jechać	
minum			pić	
tidur			iść spać; spać	
datang			przybyć; przybywać; przyjść; przychodzić	
makan			jeść	
anak			dziecko	
di mana			gdzie	
tinggal			mieszkać; stać	
kapan			kiedy	
pulang			wracać do domu	
-nya			jego	
dari			z; od	
Pak			proszę pana	
ayah			ojciec	
meja			stół	
Bu			proszę pani	
# === 2 ===
pegawai			pracownik; personel; urzędnik	
Saudara			pan; proszę pana; proszę pani; brat; siostra; towarzysz; obywatel	
juga			także; także, też; również	
Nyonya			pani	
suami			mąż	
minum			pić	
anak			dziecko	
di mana			gdzie	
tinggal			mieszkać; stać	
kapan			kiedy	
pulang			wracać do domu	
-nya			jego	
dari			z; od	
Pak			proszę pana	
ayah			ojciec	
meja			stół	
Bu			proszę pani	
di sana			tam	
merokok			palić tytoń	
bagian			departament; część	
kepala			głowa	
orang perempuan			kobieta	
bukan			nie	zaprzecza rzeczowniki
tidak			nie	zaprzecza czasowniki
suka			lubić	
kamu			ty; wy	nieformalnie
sendiri			sam	
lemari			szafa	
ambil			wziąć	
gula			cukier	
kembali			zwracać; wracać; proszę bardzo; proszę	w odpowiedzi na "dziękuję"; odpowiedź na "dziękuję"
makanan			jedzenie; jedzenie, żywność	
putih			biały	
bahwa			że	
salah			zły; niepoprawny	
merah			czerwony	
malu			nieśmiały	
yang			ten który; ten, który	
tetapi			ale	
betul			poprawny	
bertanya			pytać; zadać pytanie	
mengajar			uczyć	
jangan			nie; nie rób tego	
di pojok			w kącie	
mengetik			pisać na maszynie	
setiap hari			codziennie	
besok			jutro	
orang Inggeris			Anglik	
mulai			zaczynać	
bisa			móc	
berbicara			rozmawiać; mówić, rozmawiać	
kue			ciasto	
rumah			dom	
masuk			wchodzić	
di sini			tutaj	
sedang makan			właśnie je	
akan			będzie; mieć zamiar; będę	czasownik pomocniczy czasu przyszłego
kopi			kawa	
itu			tamto; tamten	
teh			herbata	
dapat			móc	formalnie
pesta			przyjęcie	
kemarin			wczoraj	
bertemu			poznać	
tapi			ale	
beli			kupić; kupować	
untuk			dla; żeby	
prangko			znaczek	
mengapa			dlaczego	
mahasiswa			sudent; student	
polisi			policjant; policja	
kenal			znać osobiście	
pandai			mądry; zdolny	
rajin			pilny	
kaya			bogaty	
senang			szczęśliwy; zadowolony	
baik			dobry; miły	
tentu saja			oczywiście	
ada			jest; znajduje się; istnieje; mieć; istnieć, być	
sedang			w trakcie; podczas	
keluar			wyjść na zewnątrz	
mau			chcieć; mieć zamiar	
tunggu			czekać	
masih			nadal; ciągle; jeszcze	
jauh			daleko; daleki	
