Phrase	Grammar	Transcription	Translation	Notes
di mana			gdzie	
tinggal			mieszkać	
kapan			kiedy	
pulang			wracać do domu	
-nya			jego	
dari			z	
Pak			proszę pana	
ayah			ojciec	
meja			stół	
Bu			proszę pani	
anak			dziecko	
di sana			tam	
merokok			palić tytoń	
bagian			departament	
kepala			głowa	
orang perempuan			kobieta	
bukan			nie	zaprzecza rzeczowniki
tidak			nie	zaprzecza czasowniki
suka			lubić	
minum			pić	
kamu			ty	nieformalnie
sendiri			sam	
lemari			szafa	
ambil			wziąć	
gula			cukier	
kembali			zwracać	
makanan			jedzenie	
putih			biały	
bahwa			że	
suka			lubić	
salah			zły; niepoprawny	
merah			czerwony	
malu			nieśmiały	
yang			ten który	
tetapi			ale	
betul			poprawny	
bertanya			pytać	
mengajar			uczyć	
jangan			nie rób tego	
di pojok			w kącie	
di sana			tam	
juga			także	
pegawai			personel	
mengetik			pisać na maszynie	
setiap hari			codziennie	
besok			jutro	
orang Inggeris			Anglik	
mulai			zaczynać	
bisa			móc	
berbicara			rozmawiać	
kue			ciasto	
rumah			dom	
masuk			wchodzić	
di mana			gdzie	
di sini			tutaj	
sedang makan			właśnie je	
akan			będzie	
di sana			tam	
kopi			kawa	
itu			tamto	
suka			lubić	
teh			herbata	
bisa			móc	
dapat			móc	
suami			mąż	
pesta			przyjęcie	
kemarin			wczoraj	
di pojok			w kącie	
bertemu			poznać	
tapi			ale	
beli			kupić	
untuk			dla	
prangko			znaczek	
mengapa			dlaczego	
nyonya			pani	
mahasiswa			sudent	
polisi			policjant	
kenal			znać osobiście	
pandai			mądry	
rajin			pilny	
kaya			bogaty	
senang			szczęśliwy	
baik			dobry; miły	
tentu saja			oczywiście	
saudara			brat	
ada			jest; znajduje się	
sedang			w trakcie; podczas	
keluar			wyjść na zewnątrz	
mau			chcieć	
tunggu			czekać	
tetapi			ale	
tapi			ale	
betul			poprawny	
di mana			gdzie	
masih			nadal; ciągle	
jauh			daleko	
dari			z	
