Phrase	Grammar	Transcription	Translation	Notes
# === 0a ===
nama			imię	
ini			to; ten	
minum			pić	
makan			jeść	
anak			dziecko	
kapan			kiedy	
kamu			ty; wy	nieformalnie
itu			tamto; tamten	
aku			ja	
aman			bezpieczny; spokojny	
apa			co; czy; ... czy ...?	nieformalnie = apakah; potocznie
atap			dach	
ikan			ryba	
kakak			starszy brat; starsza siostra	
kami			my bez ciebie; my bez was; my	
kanan			prawy	
kaki			noga; stopa	
kata			słowo	
kita			my z tobą; my z wami; my	
kuku			paznokieć	
mata			oko	
muka			twarz; przód	
paman			wujek	
papan			deska	
pintu			drzwi; wejście	
pipi			policzek	
takut			bać się	
taman			park; skwer	
tamu			gość; klient	
# === 0b ===
toko			sklep	
teman			przyjaciel	
kopi			kawa	
mau			chcieć; mieć zamiar	
enam			sześć	
itik			kaczka	
kakék			dziadek	
ketimun			ogórek	
kué			ciasto; tort; placek; ciastko	
kota			miasto	
map			teczka na dokumenty	
nénék			babcia	
péna			pióro do pisania	
peta			mapa; plan miejscowości	
tempat			miejsce	
témpé			zapiekanka ze sfermentowanych nasion soi	
tomat			pomidor	
topi			czapka; kapelusz	najczęściej europejski
tutup			być zamkniętym	
# === 0c ===
di			w; na	
buku			książka	
bukan			nie	zaprzecza rzeczowniki
tidak			nie	zaprzecza czasowniki
itik			kaczka	
adik			młodszy brat; młodsza siostra	
ayam			kura; kurczak	
bapak			pan; ojciec	
badan			ciało	
baju			kurtka wierzchnia	
batu			kamień	
bébék			kaczka	
bibi			ciocia	
bukit			wzgórze; góra	
candi			świątynia buddyjska lub hinduistyczna	
cantik			ładny; ładna; piękna	o urodzie dziewczyny lub kobiety
cempedak			drzewo lub owoc cempedak	
dada			pierś	
dagu			podbródek	
dekat			blisko; niedaleko	
duduk			siedzieć	
duku			drzewo lub owoc duku	
empat			cztery	
énak			smaczny	
gedé			duży	
gigi			zęby	
ibu			matka	
jambu			drzewo lub owoc jambu; jambo	
kantin			stołówka	
kayu			drewno	
kebun			ogród; sad; plantacja	
kuda			koń	
méja			stół	
monyét			małpa	
muda			młody	
nyaman			przytulny; wygodny	
nyamuk			komar	
pada			u; przy; za	
péndék			krótki; niski	
penyu			żółw	
pepaya			papaja	
puncak			wierzchołek	
# === 0d ===
orang			osoba; człowiek; człowiek, osoba	
guru			nauczyciel	
putih			biały	
rumah			dom	
jauh			daleko; daleki	
alam			przyroda	
apakah			czy	
bagus			dobry; piękny; wspaniały	
baru			nowy	
besar			duży	
biru			niebieski	
bunga			kwiat	
buruh			robotnik	
buruk			zły	
gunung			góra	
hitam			czarny	
jalan			ulica; droga; iść pieszo	nieformalnie = berjalan
jelék			zły; okropny	
jendéla			okno	
indah			piękny; przepiękny	
kampung			wioska; wieś	
kamus			słownik	
kamar			pokój; sypialnia; pokój, izba	
kecil			mały	
kera			duża małpa; makak	
kertas			papier	
kiri			lewy	
kuning			żółty	
kursi			krzesło	
lébar			szeroki	
mérah			czerwony	
nangka			chlebowiec	drzewo i owoc
panjang			długi	
pasar			rynek	
pénsil			ołówek	
pohon			drzewo; krzak	
pulpén			długopis	
rendah			niski	
sempit			wąski	
tinggi			wysoki	
ya			tak	
# === 0e ===
saya			ja	
pegawai			pracownik; personel; urzędnik	
siapa			kto	
dia			on; ona; ono	
dan			i	
Saudara			pan; proszę pana; proszę pani; brat; siostra; towarzysz; obywatel	
Tuan			pan	
murid			uczeń	
Nyonya			pani	
ayah			ojciec	
mahasiswa			sudent; student	
pandai			mądry; zdolny	
baik			dobry; miły	
atau			albo	
bangau			biała czapla	
beliau			on; ona	
bersih			czysty	
dalam			w; głęboki; wewnątrz	
danau			jezioro	
dangkal			płytki; niegłęboki; powierzchowny	
dokter			lekarz	
dosén			wykładowca; wykładowca uniwersytecki; profesor	
engkau			ty	
hijau			zielony	
ganteng			przystojny	
kalian			wy	
kuat			silny	
institut			instytut	
insinyur			inżynier	
kerbau			bawół	
kotor			brudny	
laci			szuflada	
ladang			pole	nienawadniane
luas			duży; szeroki; obszerny; rozległy	
negeri			kraj	
padang			pole; równina	
rawa			błoto	
sekolah			szkoła	
sungai			rzeka	
surat			list	
tangan			ręka	
tahu			wiedzieć	
tua			stary	
universitas			uniwersytet	
Afrika			Afryka	
Asia			Azja	
