Phrase	Grammar	Transcription	Translation	Notes
aku			ja	
aman			bezpieczny; spokojny	
anak			dziecko	
apa			co	
atap			dach	
ikan			ryba	
ini			to	
itu			tamto	
kakak			starszy brat; starsza siostra	
kami			my bez ciebie; my bez was	
kamu			ty	
kapan			kiedy	
kanan			prawy	
kaki			noga	
kata			słowo	
kita			my z tobą; my z wami	
kuku			paznokieć	
makan			jeść	
mata			oko	
minum			pić	
muka			twarz	
nama			imię	
paman			wujek	
papan			deska	
pintu			drzwi	
pipi			policzek	
takut			bać się	
taman			park; skwer	
tamu			gość	
