Phrase	Grammar	Transcription	Translation	Notes
alam			przyroda	
apakah			czy	
bagus			dobry; piękny	
baru			nowy	
besar			duży	
biru			niebieski	
bunga			kwiat	
buruh			robotnik	
buruk			zły	
gunung			góra	
guru			nauczyciel	
hitam			czarny	
jalan			ulica; droga	
jauh			daleki	
jelék			zły; okropny	
jendéla			okno	
indah			piękny	
kampung			wioska	
kamus			słownik	
kamar			pokój	
kecil			mały	
kera			duża małpa; makak	
kertas			papier	
kiri			lewy	
kuning			żółty	
kursi			krzesło	
lébar			szeroki	
mérah			czerwony	
nangka			chlebowiec	drzewo i owoc
orang			człowiek	
panjang			długi	
pasar			rynek	
pénsil			ołówek	
pohon			drzewo	
pulpén			długopis	
putih			biały	
rendah			niski	
rumah			dom	
sempit			wąski	
tinggi			wysoki	
ya			tak	
