Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
berbicara			rozmawiać; mówić, rozmawiać	
tapi			ale	
pohon			drzewo; krzak	
rumah sakit			szpital	
contoh			przykład	
sendok			łyżka	
sayur			warzywa	
piring			talerz	
serbet			serwetka	
karena			ponieważ	
pertama			pierwszy	
menarik			interesujący	
tiket pesawat terbang			bilet lotniczy	
mahal			drogi	
sedikit			trochę	
hutan			las; dżungla	
waktu			czas	
uang			pieniądze	
seluruh			wszędzie	
# === 2 ===
murid			uczeń	
tidak			nie	zaprzecza czasowniki
mahasiswa			sudent; student	
besar			duży	
kecil			mały	
ya			tak	
siap			gotowy	
warung internet			kawiarnia internetowa	
enak			smaczny	
menggunakan			używać	
siswa			student	
selatan			południe	
sejarah			historia	
timur			wschód	
beragama Kristen			chrześcijanin	
berbeda			inny	
apel			jabłko	
memata-matai			szpiegować	
bersantai			odpoczywać; relaksować się	
# === 3 ===
anda			ty	
toko			sklep	
kantor			biuro	
siang			południe	
Pak			proszę pana	
Bu			proszę pani	
rumah			dom	
mau			chcieć; mieć zamiar	
pasar			rynek	
sekolah			szkoła	
rumah sakit			szpital	
pagi			poranek	
sore			wieczór; popołudnie	
malam			noc	
dari mana			skąd	
o begitu			rozumiem	
saya kira			myślę, że	
gedung			budynek	
mesjid			meczet	
gereja			kościół	
pabrik			fabryka	
Rusia			Rosja	
restoran			elegancka restauracja	
resto			restauracja "trendy"	
Selandia Baru			Nowa Zelandia	
Mesir			Egipt	
Inggris			Anglia	
Jerman			Niemcy	
mari			do widzenia; chodź...	
sakit			chory	
# === 4 ===
saya			ja	
di			w; na	
wisatawan			turysta	
minum			pić	
makan			jeść	
tinggal			mieszkać; stać	
bukan			nie	zaprzecza rzeczowniki
tidak			nie	zaprzecza czasowniki
suka			lubić	
kamu			ty; wy	nieformalnie
bisa			móc	
akan			będzie; mieć zamiar; będę	czasownik pomocniczy czasu przyszłego
kopi			kawa	
teh			herbata	
dapat			móc	formalnie
mau			chcieć; mieć zamiar	
apa			co; czy; ... czy ...?	nieformalnie = apakah; potocznie
ikan			ryba	
ayam			kura; kurczak	
duduk			siedzieć	
apakah			czy	
jalan			ulica; droga; iść pieszo	nieformalnie = berjalan
warung			mała restauracja; stragan; sklepik	
rumah makan			restauracja	
saja			tylko; właśnie	
aja			tylko; właśnie; dopiero co; przed chwilą	nieformalnie = saja; nieformalny odpowiednik "saja"
kan			nie	nieformalnie = bukan
berjalan			iść; iść pieszo; podróżować	
nggak			nie	nieformalnie = tidak, z jawajskiego
ndak			nie	nieformalnie = tidak, z minangkabau
kagak			nie	nieformalnie = tidak, malajski Dżakarty
ingin			chcieć	
kepingin			chcieć	nieformalnie = ingin, z jawajskiego
turis			turysta	nieformalnie = wisatawan, z angielskiego
you			ty	nieformalnie = anda, z angielskiego
air			woda	
pisang			banany; banan	
telur			jajko	
nasi			ugotowany ryż; ryż	
daging			mięso	
susu			mleko	
roti			chleb	
tempe			tempe	potrawa ze sfermentowanej soi
# === 5 ===
juga			także; także, też; również	
Jepang			japoński; Japonia	
di sana			tam	
tetapi			ale	
atau			albo	
universitas			uniwersytet	
warung			mała restauracja; stragan; sklepik	
air jeruk			sok pomarańczowy	
ayam goreng			smażony kurczak	
bioskop			kino	
bir			piwo	
buah			owoc	
coklat			czekolada	
durian			durian	
hotel			hotel	
kantor pos			urząd pocztowy	
kentang			ziemniaki	
mal			centrum handlowe	
nasi goreng			smażony ryż	
pasar swalayan			supermarket	
terminal bus			przystanek końcowy autobusu	
warnet			kawiarnia internetowa	
Amerika Serikat			Stany Zjednoczone	
Arab Saudi			Arabia Saudyjska	
Cina			Chiny	
Italia			Włochy	
Thailand			Tajlandia	
Belanda			Holandia	
Perancis			Francja	
Singapura			Singapur	
Yunani			Grecja	
Australia			Australia	
Indonesia			Indonezja; indonezyjski	
# === 6 ===
buku			książka	
di mana			gdzie	
polisi			policjant; policja	
kota			miasto	
jalan			ulica; droga; iść pieszo	nieformalnie = berjalan
administrasi			administracja	
bank			bank	
di antara			pomiędzy	
di dekat			przy	
di depan			przed	
di belakang			za	
di samping			obok	
kampus			kampus	
pusat			centrum	
imigrasi			imigracja	
nasional			narodowy	
pemerintah			rząd	
perpustakaan			biblioteka	
# === 7 ===
itu			tamto; tamten	
ada			jest; znajduje się; istnieje; mieć; istnieć, być	
dekat			blisko; niedaleko	
tahu			wiedzieć	
dekat sini			w pobliżu	
tau			wiedzieć	nieformalnie: tahu
iya			tak jest	z emfazą
# === 8 ===
pergi			iść; jechać	
datang			przybyć; przybywać; przyjść; przychodzić	
kembali			zwracać; wracać; proszę bardzo; proszę	w odpowiedzi na "dziękuję"; odpowiedź na "dziękuję"
di sini			tutaj	
kaki			noga; stopa	
berjalan			iść; iść pieszo; podróżować	
angkot			transport miejski	skrót od: angkutan kota
becak			trójkołowa riksza-rower	
bemo			trójkołowa motoriksza	
bus			autobus	
