Phrase	Grammar	Transcription	Translation	Notes
asrama			internat; akademik	
bahasa Inggris			język angielski	
bahasa Cina			język chiński	
bahasa Tionghoa			język chiński	
bapak			ojciec; pan	
belok			zakręt	
dosen			wykładowca uniwersytecki; profesor	
fakultas			wydział	
ilmu			nauka	
ilmu bumi			geografia	
geografi			geografia	
ilmu ekonomi			ekonomia	
ilmu kimia			chemia	
ilmu politik			nauki polityczne	
informasi			informacja	
kuliah			wykład na uniwersytecie; studiować; być na wykładzie; iść na wykład	
ruang kuliah			sala wykładowa	
mahasiswa			student	
matematika			matematyka	
numpang tanya			czy mogę zapytać?	
pertama			pierwszy	
rektor			rektor	
sastra			literatura	
seberang			po przeciwnej stronie	
studi			nauka o	
terus			kontynuować; iść naprzód	
toko buku			księgarnia	
toko roti			piekarnia	
