Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
saya			ja	
ini			to; ten	
dia			on; ona; ono	
di			w; na	
dan			i	
terima kasih			dziękuję	
juga			także; także, też; również	
di mana			gdzie	
dari			z; od	
di sini			tutaj	
itu			tamto; tamten	
kita			my z tobą; my z wami; my	
ya			tak	
satu			jeden	
tiga			trzy	
depan			front; przód; następny	tydzień, miesiąc, rok
adik	N		młodszy brat; młodsza siostra	
bagus	Adj		miły, piękny	
barang	N		bagaż	
bayar	V		płacić	
belakang	N		tył	
bir	N		piwo	
bisa	V		móc	
capek	Adj		zmęczony	
contoh	N		przykład	
datang	V		przychodzić	
duduk	V		siedzieć	
habis			po	
Indonesia	N		Indonezja	
jam	N		godzina; zegar	
jawaban	N		odpowiedzi	
kantor	N		biuro	
ke			do, ku	
kopi	N		kawa	
lapangan	N		pole	
lapangan terbang	N		lotnisko	
latihan	N		ćwiczenie	
latihan ucapan	N		ćwiczenie ustne	
mau	V		chcieć	
minum	V		pić	
mobil	V		samochód	
mulai	V		zaczynać	
naik	V		wsiadać	
nama	N		imię	
pelajaran	N		lekcja	
pergi	V		iść; jechać	
pikir	V		myśleć	
restoran	N		restauracja	
saudara	N		ty; pan	
selamat datang di			witamy w	
silakan			proszę	
suka	V		lubić	
teh	N		herbata	
terbang	V		latać	
tidur	V		spać	
# === 2 ===
orang			osoba; człowiek; człowiek, osoba	
makan			jeść	
tidak			nie	zaprzecza czasowniki
suka			lubić	
tetapi			ale	
beli			kupić; kupować	
mengapa			dlaczego	
baik			dobry; miły	
ada			jest; znajduje się; istnieje; mieć; istnieć, być	
apa			co; czy; ... czy ...?	nieformalnie = apakah; potocznie
kami			my bez ciebie; my bez was; my	
empat			cztery	
pepaya			papaja	
mahal			drogi	
sore			wieczór; popołudnie	
mari			do widzenia; chodź...	
warung			mała restauracja; stragan; sklepik	
buah			owoc	
harus			musieć	
murah			tani	
dua			dwa	
sudah			już	
asing			cudzoziemski	
berhenti			zatrzymać	
biasa			zwykle; przywyknąć, przyzwyczaić się	
daerah			kraj, wieś	
desa			wioska	
lihat			patrzeć, widzieć	
perjalanan			podróż	
pikir			myśleć, sądzić, być zdania	
rambutan			rambutan	
segar			rzeźki, odświeżony	
sekarang			teraz	
# === 3 ===
siapa			kto	
dia			on; ona; ono	
Tuan			pan	
kapan			kiedy	
bukan			nie	zaprzecza rzeczowniki
jangan			nie; nie rób tego	
rumah			dom	
masuk			wchodzić	
akan			będzie; mieć zamiar; będę	czasownik pomocniczy czasu przyszłego
untuk			dla; żeby	
senang			szczęśliwy; zadowolony	
tunggu			czekać	
kami			my bez ciebie; my bez was; my	
kita			my z tobą; my z wami; my	
tamu			gość; klient	
gigi			zęby	
besar			duży	
hitam			czarny	
kamar			pokój; sypialnia; pokój, izba	
kecil			mały	
enak			smaczny	
Indonesia			Indonezja; indonezyjski	
di samping			obok	
banyak			dużo; wielu	
kamar tidur			sypialnia	
mandi			brać kąpiel; kąpać się	
masak			gotować	
pembantu			pracownik; pomocnik; służąca; gosposia	
adat			zwyczaj	
atur			dopilnować, zorganizować	
bak			pojemnik na wodę do mycia	
bawa			zabrać ze sobą, przynieść	
buka			zdjąć obuwie	
cuci			prać; myć	
kakus			ubikacja	
kamar duduk			salon	
kamar makan			jadalnia	
kamar tamu			pokój gościnny	
ketan			kleisty ryż	
kueh			ciasto, ciastko	
pakai			nosić ubranie	
perempuan			kobieta	
perlu			potrzebować szybko	
sangat			bardzo	
selop			śliski	
sepatu			buty, obuwie	
sikat			szczoteczka, pędzel	
tiba			przybyć	
tubruk			po turecku	
# === 4 ===
isteri			żona	
suami			mąż	
makanan			jedzenie; jedzenie, żywność	
merah			czerwony	
masih			nadal; ciągle; jeszcze	
ikan			ryba	
mata			oko	
muka			twarz; przód	
ayam			kura; kurczak	
kebun			ogród; sad; plantacja	
apakah			czy	
bunga			kwiat	
pohon			drzewo; krzak	
rendah			niski	
tinggi			wysoki	
pagi			poranek	
mesjid			meczet	
gereja			kościół	
air			woda	
pisang			banany; banan	
nasi			ugotowany ryż; ryż	
panas			gorący	
pedas			pikantny	
belum			jeszcze nie; zanim	
masak			gotować	
kelapa			orzech kokosowy	
biasa			zwykle; przywyknąć, przyzwyczaić się	
awas			bądź ostrożny, strzeż się	
ayam jago			kogut	
bebek			kaczka	
botol			butelka	
bunga anggerek			orchidea	
coba			próbować	
dengar			słyszeć	
goreng			smażony	
kalau			jeśli	
kambing			koza; owca	
kemudian			następnie	
laki-laki			męski, mężczyzna; mężczyzna	
mata sapi			smażone jajko	
piara			hodować	
rasa			smak	
sapi			krowa	
sarapan			śniadanie	
sekali			bardzo	
selalu			zawsze	
selamat pagi			dzień dobry	rano
suara			głos	
tanam			zasadzić	
tukang kebun			ogrodnik	
waduh!			O Boże!	
