Phrase	Grammar	Transcription	Translation	Notes
ada			mieć; istnieć, być	
apa			co	
asing			cudzoziemski	
baik			dobry	
beli			kupować	
berhenti			zatrzymać	
biasa			zwykle	
buah			owoc	
daerah			kraj, wieś	
desa			wioska	
dua			dwa	
empat			cztery	
harus			musieć	
kami			my	
lihat			patrzeć, widzieć	
mahal			drogi	
makan			jeść	
mari			chodź...	
mengapa			dlaczego	
murah			tani	
orang			człowiek, osoba	
pepaya			papaja	
perjalanan			podróż	
pikir			myśleć, sądzić, być zdania	
rambutan			rambutan	
segar			rzeźki, odświeżony	
sekarang			teraz	
sore			popołudnie	
sudah			już	
suka			lubić	
tetapi			ale	
tidak			nie	
warung			stragan	
