Phrase	Grammar	Transcription	Translation	Notes
# === 0 ===
selamat malam			dobry wieczór	
terima kasih			dziękuję	
kembali			zwracać; wracać; proszę bardzo; proszę	w odpowiedzi na "dziękuję"; odpowiedź na "dziękuję"
permisi			przepraszam; za pozwoleniem	gdy komuś przerywamy, powodujemy niedogodoność, chcemy odejść
selamat pagi			dzień dobry	rano
maafkan saya			przepraszam	
apa kabar?			co słychać?	
kabar baik			wszystko dobrze	
selamat			gratulacje	
selamat siang			dzień dobry	około południa
selamat soré			dzień dobry	w Indonezji
selamat petang			dzień dobry	w Malezji
selamat tidur			dobranoc	
selamat datang			witamy	
selamat tinggal			do widzenia	do pozostających na miejscu
selamat jalan			do widzenia	do wyruszających w drogę
selamat makan			smacznego	
sampai bertemu lagi			do zobaczenia	
sampai jumpa			do widzenia	
sampai bésok			do jutra	
silahkan			proszę bardzo	
marilah			chodźmy	
tidak apa-apa			nieważne	
jangan répot			nie przeszkadzać	
jangan kuatir			nie martw się	
betul?			naprawdę?	
# === 1 ===
saya			ja	
ini			to; ten	
dan			i	
guru			nauczyciel	
bahasa			język	
kamu			ty; wy	nieformalnie
yang			ten który; ten, który	
di sini			tutaj	
itu			tamto; tamten	
pandai			mądry; zdolny	
rajin			pilny	
baik			dobry; miły	
ada			jest; znajduje się; istnieje; mieć; istnieć, być	
apa			co; czy; ... czy ...?	nieformalnie = apakah; potocznie
kita			my z tobą; my z wami; my	
panjang			długi	
meréka			oni	
perempuan			kobieta	
sangat			bardzo	
laki-laki			męski, mężczyzna; mężczyzna	
di sekolah			w szkole	
hari ini			dzisiaj	
semua			wszyscy	
susah			trudny	
sukar			trudny	
pelajar			uczeń	
adil			sprawiedliwy	
kita belajar			uczymy się	
gampang			łatwy	
akan dihadiah			dostanie nagrodę	
buat			robić	
nakal			niegrzeczny	
mudah			łatwy	
# === 2 ===
orang			osoba; człowiek; człowiek, osoba	
toko			sklep	
pakaian			ubranie	
dia			on; ona; ono	
juga			także; także, też; również	
Jepang			japoński; Japonia	
datang			przybyć; przybywać; przyjść; przychodzić	
anak			dziecko	
di mana			gdzie	
tinggal			mieszkać; stać	
dari			z; od	
bukan			nie	zaprzecza rzeczowniki
tidak			nie	zaprzecza czasowniki
tetapi			ale	
mau			chcieć; mieć zamiar	
jauh			daleko; daleki	
kota			miasto	
empat			cztery	
énak			smaczny	
jambu			drzewo lub owoc jambu; jambo	
pepaya			papaja	
besar			duży	
jalan			ulica; droga; iść pieszo	nieformalnie = berjalan
nangka			chlebowiec	drzewo i owoc
pasar			rynek	
ya			tak	
dalam			w; głęboki; wewnątrz	
negeri			kraj	
apel			jabłko	
pisang			banany; banan	
durian			durian	
buah-buahan			różne owoce; owoce	
manis			słodki	
murah			tani	
ramai			pełen życia, hałaśliwy; zatłoczony	
banyak			dużo; wielu	
bermacam-macam			wszelkiego rodzaju, różnorodny; różnorodne	
cukup			dość, wystarczy; wystarczy	
satu			jeden	
dua			dwa	
sudah			już	
jadi			więc; zatem; w tym czasie	
lagi			nadal; znowu; ponadto	
dapur			kuchnia	
ia			on; ona	odpowiednik "dia"
mangga			mango	
mempunyai			mieć; posiadać; być właścicielem	
rambutan			rambutan	
coba			próbować	
kalau			jeśli	
sekali			bardzo	
selalu			zawsze	
paling			najbardziej	
berapa			ile	
itulah			właśnie tamten	
inilah			właśnie ten	
kasi			dać	
kilo			kilogram	
tak usah			nie warto; to bezużyteczne	
bésok			jutro	
ribu			milion	
jeruk			cytrus	
setengah			połowa	
sebiji			jeden owoc	
seorang			jedna osoba	
bernama			nazywać się	
séwa			wynajem	
penjaja			pieszy	
tepi			krawędź; margines	
barang			bagaż; rzeczy	
keperluan			potrzeba	
dijualnya			te które on sprzedaje	
misalnya			na przykład	
anggur			winogrona	
manggis			mangostino	
salak			salak	
nenas			ananas	
terdapat			znajdować się	
tiap-tiap			wszystkie	
hari			dzień	
berlari			biegać	
belimbing			gwiezdny owoc	
dan lain-lain			i tak dalej	
seperti			na przykład	
ramai orang-orang			wiele osób	
