Phrase	Grammar	Transcription	Translation	Notes
terima kasih			dziękuję	
kembali			proszę	odpowiedź na "dziękuję"
maafkan saya			przepraszam	
apa kabar?			co słychać?	
kabar baik			wszystko dobrze	
selamat			gratulacje	
selamat pagi			dzień dobry	rano
selamat siang			dzień dobry	około południa
selamat soré			dzień dobry	w Indonezji
selamat petang			dzień dobry	w Malezji
selamat malam			dobry wieczór	
selamat tidur			dobranoc	
selamat datang			witamy	
selamat tinggal			do widzenia	do pozostających na miejscu
selamat jalan			do widzenia	do wyruszających w drogę
selamat makan			smacznego	
sampai bertemu lagi			do zobaczenia	
sampai jumpa			do widzenia	
sampai bésok			do jutra	
silahkan			proszę bardzo	
marilah			chodźmy	
permisi			za pozwoleniem	
tidak apa-apa			nieważne	
jangan répot			nie przeszkadzać	
jangan kuatir			nie martw się	
betul?			naprawdę?	
