Phrase	Grammar	Transcription	Translation	Notes
kekuatan			power	
mencari			search	
miliar			billion	
masa			time	
lakukan			do	
jupiter			Jupiter	
terus			continue	
udara			air	
rumah			home	
diri			self	
lainnya			more	
galaksi			galaxy	
kepada			to	
daya			power	
raksasa			giant	
ribuan			thousand	
ya			yes	
memberikan			give	
es			ice	
akhirnya			finally	
gambar			picture	
mesin			machine	
meskipun			although	
tanah			soil	
mencoba			try	
pertanyaan			question	
alien			alien	
perlu			need	
malam			night	
lihat			see	
lama			long	
perang			war	
tersebut			mentioned	
merupakan			constitute	
jelas			clear	
sementara			while	
akhir			end	
terlalu			too	
kuat			strong	
maka			then	
batu			stone	
peradaban			civilization	
tinggi			high	
selalu			always	
daripada			of the	
tampaknya			apparently	
membawa			bring	
dingin			cold	
terbesar			most	
punya			have	
belum			not yet	
sejarah			history	
tetap			permanent	
sebelum			before	
lubang			hole	
sebagian			partially	
dibuat			be made	
alasan			reason	
mil			mile	
titik			point	
cepat			fast	
terlihat			visible	
menghasilkan			produce	
proses			process	
terbang			fly	
sedang			moderate	
dasar			basic	
digunakan			be used	
penemuan			invention	
ilmiah			scientific	
anak			child	
muncul			appear	
turun			down	
depan			front	
jam			hour	
pengetahuan			knowledge	
gunung			Mountain	
atmosfer			atmosphere	
dikenal			be known	
sekali			once	
terakhir			last	
bola			ball	
segala			all	
perusahaan			company	
luas			large	
emas			gold	
bahan			ingredients	
membangun			build	
pun			even	
tengkorak			skull	
negara			country	
berubah			change	
ekonomi			economy	
siapa			who	
selatan			South	
the			the	
tumbuh			grow	
jalan			Street	
tepat			right	
tertentu			certain	
