Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
prima			pierwsza	
lezione			lekcja	
questo			ten; to	
è			jest	
un			-	rodzajnik nieokreślony rodzaju męskiego
un lapis			ołówek	
un quaderno			zeszyt	
un libro			książka	
che?			co?	
che cosa?			co?	
un calamaio			kałamarz	
un giornale			gazeta	
un calendario			kalendarz	
sì			tak	
un orologio			zegar; zegarek	
un temperino			scyzoryk	
uno specchio			lustro	
no			nie	
non			nie	przed czasownikami
questa			to; ta	
una penna			pióro	
una riga			linijka	
una scatola			pudełko	
una gomma			guma	
una léttera			list	
una busta da léttere			koperta	
una sedia			krzesło	
una tavola			stół	
una lavagna			tablica	
uno			jeden	
due			dwa	
tre			trzy	
quattro			cztery	
cinque			pięć	
# === 2 ===
seconda			druga	
questi			to	rzeczowniki żywotne rodzaju męskiego
un signore			pan	
una signora			pani	
una signorina			panna	
il signor Anson			pan Anson	
la signora Anson			pani Ansonowa	
e			i	
chi?			kto?	
il			-	rodzajnik określony rodzaju męskiego; rodzajnik określony rodzaju męskiego liczby pojedynczej
il lapis			ołówek	
la (rodzajnik określony rodzaju żeńskiego)				
la scatola			pudełko	
la carta			papier	
di chi?			czyj? czyja?	
quel			tamten	
quella			tamta	
prego!			proszę!	
legga!			czytaj!	
grammatica			gramatyka	
nove			dziewięć	
dieci			dziesięć	
buon giorno!			dzień dobry!	
a rivederci!			do widzenia!	
# === 3 ===
terza			trzecia	
rosso			czerwony	
azzurro			niebieski	
giallo			żółty	
nero			czarny	
bianco			biały	
grigio			szary	
verde			zielony	
bruno			brunatny	
di che colore?			jakiego koloru?	
qual?			który?	
quale?			która?	
la porta			drzwi	
la finestra			okno	
il gesso			kreda	
il soffitto			sufit	
la parete			ściana	
il pavimento			podłoga	
l'aggettivo			przymiotnik	
undici			jedenaście	
quattordici			czternaście	
quindici			piętnaście	
diciassette			siedemnaście	
diciotto			osiemnaście	
# === 4 ===
quarto			czwarty	
su			na	
sotto			pod	
