Phrase	Grammar	Transcription	Translation	Notes
séttimo			siódmy	
io ho			ja mam	
Lei ha			Pan ma	
egli			on	
ella			ona	
qui			tu; tutaj	
là			tam	
io ho			ja mam	
tu hai			ty masz	
egli ha			on ma	
ella ha			ona ma	
esso ha			on ma	
essa ha			ona ma	
noi abbiámo			my mamy	
voi avéte			wy macie	
essi hanno			oni mają	
esse hanno			one mają	
ho io?			czy ja mam?	
hai tu?			czy  ty masz?	
ha egli?			czy on ma?	
ha ella?			czy ona ma?	
ha esso?			czy on ma?	
ha essa?			czy ona ma?	
abbiamo noi?			czy my mamy?	
avete voi?			czy wy macie?	
hanno essi?			czy oni mają?	
hanno esse?			czy one mają?	
io non ho			ja nie mam	
