Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
che cosa?			co?	
non			nie	przed czasownikami
uno			jeden	
due			dwa	
e			i	
il			-	rodzajnik określony rodzaju męskiego; rodzajnik określony rodzaju męskiego liczby pojedynczej
la carta			papier	
la porta			drzwi	
la finestra			okno	
in			w	
il professore			nauczyciel; profesor	
la classe			klasa	
anche			także; też	
ecco			oto	
avere			mieć	
che cosa			co	
il colore			kolor	
la copertina			okładka	
ed			i	przed samogłoską
il foglio			arkusz	
gli			-	rodzajnik określony rodzaju męskiego liczby mnogiej
la gomma			gumka	
i			-	rodzajnik określony rodzaju męskiego liczby mnogiej
io			ja	
la			-	rodzajnik określony rodzaju żeńskiego liczby pojedynczej
le			-	rodzajnik określony rodzaju żeńskiego liczby mnogiej
Lei			pan; pani	
la lezione			lekcja	
il libro			książka	
lo			rodzajnik określony rodzaju męskiego liczby pojedynczej	
la matita			ołówek	
neanche			też nie	
noi			my	
nostro			nasz	
la penna			pióro	
il quaderno			zeszyt	
il registro			dziennik szkolny	
si			tak	
simpatico			sympatyczny	
spesso			często	
lo studente			uczeń; student	
la studentessa			uczennica; studentka	
il temperino			scyzoryk	
una			-; jedna	rodzajnik nieokreślony rodzaju żeńskiego liczby pojedynczej
un; uno			-	rodzajnik nieokreślony rodzaju męskiego liczby pojedynczej
a colori			kolorowy	
io ho anche un quaderno			mam też zeszyt	
io non ho neanche un quaderno			ja też nie mam zeszytu	
un foglio di carta			arkusz papieru	
# === 2 ===
ma			lecz; ale	
dietro			za	
essere			być	
qui			tu; tutaj	
grande			duży	
piccolo			mały	
l'albero			drzewo	
ampio			obszerny; przestronny	
l'appartamento			mieszkanie	
l'automobile			samochód	
l'autorimessa			garaż	
il bagno			łazienka	
il balcone			balkon	
bello			piękny	
la camera			pokój	
la campagna			wieś; pole	
la casa			dom	
la città			dom	
comodo			wygodny	
la cucina			kuchnia	
la dalia			dalia	
dentro			w; wewnątrz	
dove			gdzie	
l'edificio			budynek	
elegante			elegancki	
felice			szczęśliwy	
il fiore			kwiat	
il fratello			brat	
la frutta			owoc	
il giardino			ogród	
grazioso			powabny	
insieme			razem	
il mare			morze	
moderno			nowoczesny	
il narciso			narcyz	
l'orto			ogród	
il piano			piętro	
il pianterreno			parter	
il platano			platan	
il portone			wrota	
primo			pierwszy	
quando			kiedy	
la rosa			róża	
sei			sześć	
sempre			zawsze	
la terrazza			taras	
terzo			trzeci	
tu			ty	
il tulipano			tulipan	
vecchio			stary	
la verdura			warzywa	
la villetta			dacza	
voi			wy	
vuoto			pusty	
in campagna			we wsi	
a un piano			jednopiętrowy	
l'albero da frutta			drzewo owocowe	
al mare			na morze	
essere in fiore			kwitnąć	
in città			w mieście	
al terzo piano			na trzecim piętrze	
dietro la casa			za domem	
