Phrase	Grammar	Transcription	Translation	Notes
anche			także; też	
avere			mieć	
la carta			papier	
che cosa			co	
la classe			klasa	
il colore			kolor	
la copertina			okładka	
due			dwa	
e			i	
ecco			oto	
ed			i	przed samogłoską
la finestra			okno	
il foglio			arkusz	
gli			-	rodzajnik określony rodzaju męskiego liczby mnogiej
la gomma			gumka	
i			-	rodzajnik określony rodzaju męskiego liczby mnogiej
il			-	rodzajnik określony rodzaju męskiego liczby pojedynczej
in			w	
io			ja	
la			-	rodzajnik określony rodzaju żeńskiego liczby pojedynczej
le			-	rodzajnik określony rodzaju żeńskiego liczby mnogiej
Lei			Pan; Pani	
la lezione			lekcja	
il libro			książka	
lo			rodzajnik określony rodzaju męskiego liczby pojedynczej	
la matita			ołówek	
neanche			też nie	
noi			my	
non			nie	przed czasownikami
nostro			nasz	
la penna			pióro	
la porta			drzwi	
il professore			profesor; nauczyciel	
il quaderno			zeszyt	
il registro			dziennik szkolny	
si			tak	
simpatico			sympatyczny	
spesso			często	
lo studente			uczeń; student	
la studentessa			uczennica; studentka	
il temperino			scyzoryk	
uno			jeden	
una			jedna	
un; uno			-	rodzajnik nieokreślony rodzaju męskiego liczby pojedynczej
una			-	rodzajnik nieokreślony rodzaju żeńskiego liczby pojedynczej
a colori			kolorowy	
io ho anche un quaderno			mam też zeszyt	
io non ho neanche un quaderno			ja też nie mam zeszytu	
che cosa?			co?	
un foglio di carta			arkusz papieru	
