Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
айран			kwaśne mleko	
айт			powiedz	
ал			weź	
алма			jabłko	
апа			babcia	
апар			odnieś	
ат			imię; koń; strzelaj	
ата			dziadek; nazwij	
бар			jest; idź	
демал			odpocznij	
жаз			lato; pisz	
жай			prosty; powoli; położenie; błyskawica	
жайлау			dżajlau	
май			tłuszcz	
сана			licz; świadomość	
шай			herbata	
шаш			włosy; rozrzuć	
әдеби			literacki	
әдебиет			literatura	
әдеп			dobre maniery	
әйнек			szkło	
әкел			przynieś	
әлем			świat	
әуреленбе			nie martw się	
әпер			podaj	
әсем			piękny	
дәптер			zeszyt	
жәрдемдес			pomóż	
сәлем			pozdrowienie	
сән			moda	
сәуле			światło; promień	
тән			nieodłączny; specyficzny	
жәрдем			pomoc	
әлеумет			publika	
әлпет			wygląd	
әлек			zamieszanie	
әтеш			kogut	
әуе			niebo; wysokość	
әуе кемесі			statek powietrzny	
әуе дабылы			alarm przeciwlotniczy	
әуен			melodia	
әулет			rodzina; dynastia	
# === 2 ===
бірінші			pierwszy	
алыс			daleko	
хат			list	
біз			my; szydło	
ойнап отыр			gra; bawi się	
табыс табады			zarabia	
егін егеді			sieje	
бастырады			kosi	
бердім			dał	
кезек			kolejka	
емес			nie	
жеті			siedem	
жер жыртады			orze	
жинайды			sprząta	
мемлекет			państwo	
тапсырады			wynajmuje	
# === 3 ===
ақ			biały	
аудан			obszar	
еден			podłoga	
жақсы			dobry; dobrze	
жаман емес			nieźle; niezły	
жатыр			leży	
кімде			u kogo	
келеді			przyjdzie; przyjedzie	
кітап			książka	
қаз			gęś	
қай			który	
қайда			gdzie; dokąd	
қала			miasto	
қалам			pióro do pisania	
қар			śnieg	
қара			czarny; patrz	
қарақат			porzeczka	
қарт			starzec	
қарандаш			ołówek	
қашан			kiedy	
қыз			dziewczynka	
қызыл			czerwony	
қыс			zima	
мектеп			szkoła	
ол			on; ona; ono	
тақта			tablica	
сағат			zegarek	
ғалым			uczony	
қағаз			papier	
маған			mnie	
ағаш			drzewo	
аға			starszy brat	
балға			młotek	
іні			młodszy brat	
керек			trzeba	
жаға			brzeg; kołnierz	
іл			powieś	
болды			był; wystarczy	
торғай			wróbel	
тоғыз			dziewięć	
қазір			teraz	
# === 4 ===
айдаһар			smok	
гауһар			brylant	
кісі			osoba	
қаһар			gniew	
қаһарман			bohater	
қаһарлы			groźny	
тас			kamień	
шаһар			miasto	
жиһанкез			podróżnik	
атақты			słynny	
шаңғы			narty	
таңертең			rano	
биік			wysoki	
олардың			ich	
жаңа			nowy	
тау			góra	
кең			przestronny	
тебеді			jest na przejażdżce	
кетті			poszedł; pojechał	
таң			poranek	
паң			dumny	
жең			rękaw; wygraj	
кеңес			rada; poradź się	
кеңсе			biuro	
шаң			pył	
тең			równy	
аң			zwierzę	
ең			najbardziej	
сен			ty	
сендер			wy	
сіз			Ty; Pan; Pani	
сіздер			Wy; Panowie; Panie; Państwo	
# === 5 ===
орманшы			leśnik	
балалары			jego dzieci	
көршілес			po sąsiedzku	
бірге			razem	
өте			bardzo	
оныншы			dziesiąty	
оларды			ich	
дос			przyjaciel	
оның			jego; jej	
олармен			z nimi	
екеуі			we dwójkę	
ойнайды			gra; grają	
тату			przyjacielski	
бітіреді			kończy; kończą	
жақсы көреміз			lubimy ich	
ауладық			łapali	
балық			ryba	
бірі			jeden z	
келдік			przyszli; przyjechali	
кешке			wieczorem	
көз			oko; oczy	
көп			duży	
қаладан			z miasta	
өгіз			wół	
өзім			ja sam; ja sama	
өмір			życie	
өзен			rzeka	
өнер			sztuka	
өрнек			wzór	
өткір			ostry	
су			woda	
төрт			cztery	
төсек			pościel	
шомылдық			kąpali się	
# === 6 ===
байла			przywiąż	
бұзау			cielę	
бұл			to; ten	
бұтақ			gałązka	
жұмыртқа			jajko	
құлын			źrebak	
құм			piasek	
