Phrase	Grammar	Transcription	Translation	Notes
қазақ тілі			język kazachski	
үйреніп жүрмін			uczę się	
түгел үйрендім			wszystko opanował	
дұрыс			poprawnie	
дыбыстаймын			wymawiam	
оқимын			czytam	
хабарлардың мазмұнын			treść audycji	
түсінемін			rozumiem	
бірақ			ale	
әзірше			na razie	
еркін			swobodnie	
сөйлесе алмаймын			nie mogę rozmawiać	
жыл аяғына дейін			do końca roku	
сөздік қорым молаяды			będzie więcej słownictwa	
игеремін			opanuję	
сәлеммен			z pozdrowieniem	
бір			jeden	
екі			dwa	
үш			trzy	
төрт			cztery	
бес			pięć	
алты			sześć	
жеті			siedem	
сегіз			osiem	
тоғыз			dziewięć	
он			dziesięć	
он бір			jedenaście	
он екі			dwanaście	
он үш			trzynaście	
он төрт			czternaście	
он бес			piętnaście	
он алты			szesnaście	
он жеті			siedemnaście	
он сегіз			osiemnaście	
он тоғыз			dziewiętnaście	
жиырма			dwadzieścia	
