Phrase	Grammar	Transcription	Translation	Notes
бұл			to	
қол			ręka	
қыз			dziewczynka	
ұл			chłopczyk	
құс			ptak	
кім?			kto?	
не?			co?	
қай?			który?	
қандай?			jaki?	
қонақ			gość	
ол			on	
ақын			poeta	
ұста			kowal	
қант			cukier	
қаймақ			śmietana	
жұмыс			praca	
жатыр			leży	
сен			ty	
оқы			czytaj	
ұш			leć	
кел			przyjdź	
тұр			stój; stoi	
отыр			siedź; siedzi	
жат			leż	
келеді			przyjdzie	
оқиды			czyta	
ұшады			lata	
ұшқыш			lotnik	
вертолет			śmigłowiec	
самолет			samolot	
жақсы			dobry	
ақ			biały	
бала			chłopiec	
қар			śnieg	
студент			student	
