Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
est			jest	
pater			ojciec	
mater			matka	
filius			syn	
servus			niewolnik	
coquus			kucharz	
canis			pies	
in tablino			w gabinecie	
in atrio			w głównym pokoju	
in triclinio			w jadalni	
in horto			w ogrodzie	
in culina			w kuchni	
in via			na ulicy	
scribit			pisze	
sedet			siedzi	
bibit			pije	
laborat			pracuje	
dormit			śpi	
intrat			wchodzi	
circumspectat			rozgląda się	
cibus			jedzenie	
in mensa			na stole	
salit			skacze	
stat			stoi	
stertit			chrapie	
latrat			szczeka	
surgit			wstaje	
iratus			rozgniewany	
pestis!			szkodniku!	
furcifer!			kundlu!	
clamat			krzyczy	
exit			wychodzi	
fauces			przedsionek	
atrium			główny pokój	
cubiculum			sypialnia	
tablinum			gabinet; pracownia	
peristylium			podwórko z ogrodem	
triclinium			jadalnia	
culina			kuchnia	
latrina			łazienka	
ianua			drzwi wejściowe	
impluvium			zbiornik na deszczówkę	
lararium			ołtarz domowy	
in			w	
via			ulica	
# === 2 ===
mercator			kupiec	
amicus			przyjaciel	
visitat			odwiedza	
villa			dom	
salutat			pozdrawia	
pecuniam numerat			liczy pieniądze	
argentarius			bankier	
salve!			witaj!	
respondet			odpowiada	
quoque			także	
in lecto recumbit			leży na tapczanie	
cantat			śpiewa	
pavonus			paw	
coquit			gotuje	
laetus			szczęśliwy	
audit			słyszy	
non est			nie jest	
cena			obiad	
expectat			oczekuje	
vituperat			obwinia; przeklina	
portat			niesie	
vinus			winorośl	
gustat			próbuje; kosztuje	
optimus			doskonały	
laudat			chwali	
dominus			pan	
ancilla			niewolnica; służąca	
suaviter			słodko	
delectat			podoba się	
mox			wkrótce	
et			i	
videt			widzi	
cibum consumit			zjada jedzenie	
magnifice			okazale	
cenat			je obiad	
spectat			patrzy	
laetissimus			bardzo szczęśliwy	
paratus			gotowy	
