Phrase	Grammar	Transcription	Translation	Notes
est			jest	
pater			ojciec	
mater			matka	
filius			syn	
servus			niewolnik	
coquus			kucharz	
canis			pies	
in tablino			w gabinecie	
in atrio			w głównym pokoju	
in triclinio			w jadalni	
in horto			w ogrodzie	
in culina			w kuchni	
in via			na ulicy	
scribit			pisze	
sedet			siedzi	
bibit			pije	
laborat			pracuje	
dormit			śpi	
intrat			wchodzi	
circumspectat			rozgląda się	
cibus			jedzenie	
in mensa			na stole	
salit			skacze	
stat			stoi	
stertit			chrapie	
latrat			szczeka	
surgit			wstaje	
iratus			rozgniewany	
pestis!			szkodniku!	
furcifer!			kundlu!	
clamat			krzyczy	
exit			wychodzi	
fauces			przedsionek	
atrium			główny pokój	
cubiculum			sypialnia	
tablinum			gabinet; pracownia	
peristylium			podwórko z ogrodem	
triclinium			jadalnia	
culina			kuchnia	
latrina			łazienka	
ianua			drzwi wejściowe	
impluvium			zbiornik na deszczówkę	
lararium			ołtarz domowy	
in			w	
via			ulica	
