Phrase	Grammar	Transcription	Translation	Notes
Italia	f		Italia	
cibus			żywność; jedzenie	
do			daję	
populus	m		lud	
ager	m		pole uprawne; wieś	
amicus	m		przyjaciel	
animus	m		duch; umysł; odwaga	
bellum	n		wojna	
consilium	n		plan; rada	
dominus	m		pan	
donum	n		dar; prezent	
littera	f		litera	
locus	m		miejsce; pozycja	
natura	f		natura	
puer	m		chłopiec	
puella	f		dziewczyna	
regnum	n		królestwo; władza królewska	
vir	m		mąż	
audeo			śmiem	
clamo			krzyczę	
dubito			waham się	
oro			modlę się; błagam	
terreo			przerażam	
et			i	
et ... et ...			i ... i ...	
-que			i	
sed			lecz	
