Phrase	Grammar	Transcription	Translation	Notes
turiu			mam	
šeima			rodzina	
vieną			jedna	
seserį	n sg acc		siostrę	
sesuo			siostra	
dar			jeszcze	
jauna			młoda	
mergaitė			dziewczyna	
nėra			nie jest	
studentė			studentka	
mokinė			uczennica	
eina			chodzi	
į			do	
mokyklą	n sg acc		szkołę	
jai	sg dat		jej	
tik			tylko	
dešimt			dziesięć	
metų	pl gen		lat	
vėrda			gotuje	
pusryčius	pl acc		śniadania	
pietus	pl acc		obiady	
vakarienę	sg acc		kolację	
valo			sprząta	
kambarius	pl acc		pokoje	
visi			wszyscy	
ją	sg acc		ją	
labai			bardzo	
mylime			kochamy	
gera			dobra	
motina			matka	
skaito			czyta	
laikraštį	sg acc		gazetę	
rašo			pisze	
laišką	sg acc		list	
skaitome			czytamy	
knygas	pl acc		książki	
sesutė			siostrzyczka	
mama			mama	
šeimininkė			gospodyni	
ji dirba			ona pracuje
namie			w domu	
ruošia			przygotowuje; robi	
pamokas	pl acc		lekcje; pracę domową	
laimingi	m pl nom		szczęśliwi	
