Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
aš			ja	
esu			jestem	
studentas			student	
namas			dom	
mano			mój	
yra			jest	
didelis			duży	
gražus			piękny	
tėvas			ojciec	
mokytojas			nauczyciel	
brolis			brat	
taip pat			także	
esame			jesteśmy	
studentai			studenci	
kur			gdzie	
čia			tutaj	
kas			kto; co	
vakare			wieczorem	
einame			idziemy	
namo			do domu	
koks			jaki	
ir			i	
# === 2 ===
turiu			mam	
šeima			rodzina	
vieną			jedna	
seserį	n sg acc		siostrę	
sesuo			siostra	
dar			jeszcze	
jauna			młoda	
mergaitė			dziewczyna	
nėra			nie jest	
studentė			studentka	
mokinė			uczennica	
eina			chodzi	
į			do	
mokyklą	n sg acc		szkołę	
jai	sg dat		jej	
tik			tylko	
dešimt			dziesięć	
metų	pl gen		lat	
vėrda			gotuje	
pusryčius	pl acc		śniadania	
pietus	pl acc		obiady	
vakarienę	sg acc		kolację	
valo			sprząta	
kambarius	pl acc		pokoje	
visi			wszyscy	
ją	sg acc		ją	
labai			bardzo	
mylime			kochamy	
gera			dobra	
motina			matka	
skaito			czyta	
laikraštį	sg acc		gazetę	
rašo			pisze	
laišką	sg acc		list	
skaitome			czytamy	
knygas	pl acc		książki	
sesutė			siostrzyczka	
mama			mama	
šeimininkė			gospodyni	
ji dirba			ona pracuje	
namie			w domu	
ruošia			przygotowuje; robi	
pamokas	pl acc		lekcje; pracę domową	
laimingi	m pl nom		szczęśliwi	
