Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
am	v		mam	
apă	f		woda	
cană	f		dzban	
carte	f		książka	
casă	f		dom	
clasă	f		klasa	
cu	prep		z; należący do	
de	prep		z; zrobiony z	
fată	f		dziewczyna	
ladă	f		skrzynka	
lamă	f		ostrze	
lampă	f		lampa	
lapte	m		mleko	
lemn	n		drewno	
masă	f		stół	
măr	n		jabłko	
o	det f		-	rodzajnik określony
om	m		mężczyzna	
pahar	n		szklanka	
pe	prep		na	
pom	m		drzewo	
pun	v		kładę	
ras	n		golenie	
sală	f		sala	
sub	prep		pod	
text	n		tekst	
toc	n		pióro do pisania	
tren	n		pociąg	
un	det m/n		jakiś; pewien	rodzajnik nieokreślony
văd	v		widzę	
o cană cu apă			dzban wody	
o lamă de ras			brzytwa	
o sală de clasă			klasa	
de lemn			z drewna	
# === 2 ===
are	v		ma	
bere	f		piwo	
bun	m		dobry; dobre	
bună	f		dobra	
cameră	f		pokój	
camere	f pl		pokoje	
case	f pl		domy	
cîine	m		pies	
cîini	m pl		psy	
clase	f pl		klasy	
copii	m pl		dzieci	
copil	m		dziecko	
curte	f		podwórze	
dar	conj		ale	
din	prep		z	
doi	m		dwa	
două	n		dwie	
grădină	f		ogród	
în	prep		do; w	
lîngă	prep		przy	
mare	sg		duży; duża; duże	
mari	pl		duże; duzi	
mic	sg		mały; małe	
mică	f sg		mała	
mici	pl		małe	
mînă	f		ręka	
pahare	n pl		okulary	
pisică	f sg		kot	
pisici	f pl		koty	
pîine	f		chleb	
pîini	f pl		bochenki chleba	
pomi	m pl		drzewa	
sifon	n		syfon; woda sodowa	
sticlă	f sg		butelka	
sticle	f pl		butelki	
stradă	f		ulica	
texte	n pl		teksty	
tocuri	n pl		pióra do pisania	
vin	n		wino	
vine	v		przychodzi	
am un toc în mînă			mam pióro w ręku	
vine in tren			pociąg nadjeżdża	
