Phrase	Grammar	Transcription	Translation	Notes
are	v		ma	
bere	f		piwo	
bun	m		dobry; dobre	
bună	f		dobra	
cameră	f		pokój	
camere	f pl		pokoje	
case	f pl		domy	
cîine	m		pies	
cîini	m pl		psy	
clase	f pl		klasy	
copii	m pl		dzieci	
copil	m		dziecko	
curte	f		podwórze	
dar	conj		ale	
din	prep		z	
doi	m		dwa	
două	n		dwie	
grădină	f		ogród	
în	prep		do; w	
lîngă	prep		przy	
mare	sg		duży; duża; duże	
mari	pl		duzi; duże	
mic	sg		mały; małe	
mică	f sg		mała	
mici	pl		małe	
mînă	f		ręka	
pahare	n pl		okulary	
pisică	f sg		kot	
pisici	f pl		koty	
pîine	f		chleb	
pîini	f pl		bochenki chleba	
pomi	m pl		drzewa	
sifon	n		syfon; woda sodowa	
sticlă	f sg		butelka	
sticle	f pl		butelki	
stradă	f		ulica	
texte	n pl		teksty	
tocuri	n pl		pióra do pisania	
vin	n		wino	
vine	v		przychodzi	
am un toc în mînă			mam pióro w ręku	
vine in tren			pociąg nadjeżdża	
