Phrase	Grammar	Transcription	Translation	Notes
bun	a		dobry	
dimineáţă	f		poranek	
iátă			oto	
paşapórt	n		paszport	
únde			gdzie	
de únde			skąd	
din			z	
Rúsia			Rosja	
strádă	f		ulica	
númăr	n		numer	
cáre			jaki	
supérb	a		doskonały; świetny	
da			tak	
nu			nie	
doámnă	f		pani	
domn	m		pan	
bine	adv		dobrze	
şi	conj		i; a	
aşá	adv		tak; w taki sposób	
dumneavoástră	pro		Pan; Pani	
cunoştínţă	f		znajomość	
cíne			kto	
aíci			tutaj	
dar	conj		ale	
númai			tylko	
acásă			w domu	
núme	n		nazwisko	
coréct			poprawnie; dobrze	
Búnă dimineáţa!			Dzień dobry!	rano
Búnă zíua!			Dzień dobry!	
Búnă seára!			Dobry wieczór!	
Búnă!			Dzień dobry! Dobry wieczór!	forma skrócona
Salut!			Cześć!	
Iátă paşapórtul méu			Oto mój paszport	
Cum vă numíţi?			Jak się pan(i) nazywa?	
Cum vă cheámă?			Jak się pan(i) nazywa?	
Mă numésc …			Nazywam się …	
Pe míne mă cheámă …			Nazywam się …	
Vă rog.			Proszę.	
De únde suntéţi?			Skąd Pan(i) jest?	
Cáre éste adrésa dumneavoástră?			Jaki jest Pani/Pana adres?
Luáţi paşapórtul dumneavoástră.			Proszę zabrać swój paszport.	
Toáte céle búne!			Wszystkiego dobrego!	
La revedére!			Do widzenia!	
Bíne áţi venít!			Witamy!	
Bíne v-am găsít!			Cieszę się, że Panią/Pana widzę!	odpowiedź na powitanie «Bíne aţi venit!»
Ce mái fáceţi?			Jak się Pani/Pan ma?	
Ce mái fáci?			Jak się masz?	
Éşti bine?			Wszystko dobrze?	
Sunt bine!			Mam się dobrze!	
Nu-i așa?			Nieprawdaż?	
Îmi pare bine!			Bardzo mi miło!	
Și mie, îmi pare bine de cunoştinţă			Też się cieszę, że Pana/Panią poznałem
Númele dumneavoástră este …			Pana/Pani nazwisko …	
