Phrase	Grammar	Transcription	Translation	Notes
o mulţíme	f		mnóstwo	
un obiectív	n		atrakcja turystyczna	
a mérge			iść; chodzić	
o hártă	f		mapa	
un ghid turístic	n		przewodnik turystyczny	
léu	m sg		leja	waluta rumuńska
léi	m pl		leje	waluta rumuńska
o tablétă	f		tablet	
o cartélă SIM	f		karta SIM	
o institúție	f		instytucja	
infochióşcuri	n pl		punkty informacyjne	
a apăreá			pojawiać się	
chiár			nawet	
a preferá			woleć; preferować	
de buzunár			kieszonkowy	
déci			a zatem	
a vizitá			odwiedzać	
a vreá			chcieć	
a se aflá			znajdować się	
a ajúnge			dostać się; dojść	
pấnă la			do	
situátă			położona	
céntru	n		centrum	
acólo			tam	
kilométri	m pl		kilometry	
minunáte			zachwycające; wspaniałe	
a înconjurá			otaczać	
un lac	n		jezioro	
chéi	n		nabrzeże	
chéiuri	n pl		nabrzeża	
rấu	n		rzeka	
o suprafáță			powierzchnia	
círca			około	
únde			gdzie	
a luá mása de prânz			jeść obiad	
o cafeneá	f		kawiarnia	
cafenéle	f pl		kawiarnie	
a puteá			móc	
a beá			pić	
o cafelúţă	f		filiżanka kawy	
bineînţelés			oczywiście	
obiectíve turístice de vizitát			atrakcje turystyczne, które należy odwiedzić	
plecắm la drum			wyruszyć w drogę	
mai întấi			przede wszystkim	
la óra nóuă dimineáța			o dziewiątej rano	
trécem pe la o báncă			wstąpimy do banku	
indicatoare în limba engleză			informacje w języku angielskim	
avém nevóie de lei			potrzebujemy lei	
o valoáre istórică			wartość historyczna	
a intrá pe facebook			wejść na facebooka	
institúții públice			instytucje publiczne	
hárta orașului			plan miasta	
nu departe de hotelul nostru			niedaleko od naszego hotelu	
curtea domnească			dwór książęcy	
clădírile Academíei Romấne			budynek rumuńskiej Akademii Nauk	
principála artéră			główna magistrala	
múlte álte			wiele innych	
monuménte celébre de istórie şi cultúră			znane pomniki historii i kultury	
de píldă; de exemplu			na przykład	
Ai puţínă răbdáre!			Trochę cierpliwości!	
aléea ce înconjoáră lácul			aleja okrążająca jezioro	
chéiurile rấului Dấmboviţa			nabrzeże rzeki Dymbowicy	
Únde luăm masa de prânz?			Gdzie zjemy obiad?	
cafeneáua celébră Cása Cápşa			sławna kawiarnia Dom Kapsza	
pe jos			pieszo	
ajúngem cu metróul			jedźmy metrem	
luắm autobúzul			pojedziemy autobusem	
