Phrase	Grammar	Transcription	Translation	Notes
# === a1 ===
hola			cześć	
yo			ja	
me llamo			nazywam się	
y			i; a	
vosotros	m		wy	
vosotras	f		wy	
soy			jestem	
el hotel			hotel	
el metro			metro	
el teléfono			telefon	
el taxi			taksówka	
la calle			ulica	
la perfumería			perfumeria	
el bar			bar	
la tapa			przekąska; zakąska do piwa lub wina	
el bar de tapas			bar tapas	
la escuela			szkoła	
la televisión			telewizja	
la estación			stacja kolejowa	
el aeropuerto			lotnisko	
el museo			muzeum	
el Museo del Prado			muzeum Prado	
la música			muzyka; kobieta-muzyk	
el restaurante			restauracja	
gallego			galicyjski	
el teatro			teatr	
la plaza			plac	
España	f		Hiszpania	
el libro			książka	
el diccionario			słownik	
el español			język hiszpański	
actual			obecny	
el aula	f		aula; sala wykładowa	
comprendo			rozumiem	
comprender			rozumieć	
la palabra			słowo	
no			nie	
¿qué?			co?	
significa			znaczy	
significar			oznaczać; znaczyć	
el euro			euro	
gracias			dziękuję; dzięki	
es			jest	
el arquitecto			architekt	
la arquitecta			kobieta-architekt	
español			hiszpański	
el diseñador			projektant	
la diseñadora			projektantka	
venezolano			wenezuelski	
el artista			artysta	
la artista			artystka	
colombiano			kolumbijski	
el bailarín			tancerz	
la bailarina			tancerka	
cubano			kubański	
el escritor			pisarz	
la escritora			pisarka	
uruguayo			urugwajski	
el cantante			śpiewak	
la cantante			śpiewaczka	
argentino			argentyński	
el nombre			imię	
el apellido			nazwisko	
la nacionalidad			narodowość	
la edad			wiek	
la profesión			zawód	
el estudiante			uczeń	
la estudiante			uczennica	
el correo electrónico			poczta elektroniczna	
francés			francuski	
francesa			francuska	
el camarero			kelner	
la camarera			kelnerka	
alemán			niemiecki	
alemana			niemiecka	
el enfermero			pielęgniarz	
la enfermera			pielęgniarka	
brasileño			brazylijski	
la pregunta			pytanie	
¿cómo?			jak?	
¿Cómo te llamas?			Jak się nazywasz?	
¿cuántos?	m		ile?	
¿cuántas?	f		ile?	
¿Cuántos años tienes?			Ile masz lat?	
Tengo 24 años.			Mam 24 lata.	
¿A qué te dedicas?			Czym sie zajmujesz zawodowo?	
¿cuál?			który?	
trabajar			pracować	
¿En qué trabajas?			Gdzie pracujesz?	pytanie o wykonywany zawód
eres			jesteś	
ser			być	
de			należący do; z	
¿de dónde?			skąd?	
¿De dónde eres?			Skąd jesteś?	
tienes			masz	
tener			mieć	
el móvil			telefon komórkowy	
el número de teléfono			numer telefonu	
para (+ inf)			żeby	+ inf
preguntar			pytać	
saber			wiedzieć; znać; umieć	
el lugar de origen			miejsce pochodzenia	
vivo en			mieszkam w	
vivir			żyć; mieszkać	
en			w	
tengo			mam	
trabajo en			pracuję w	
la dirección			adres	
cocinar			gotować	
ver			widzieć; oglądać	
la tele			telewizor	
ver la tele			oglądać telewizję	
el esquí			jazda na nartach	
ir a			iść do	
el gimnasio			siłownia; centrum fitness	
ir al gimnasio			iść do siłowni	
cantar			śpiewać	
el tenis			tenis	
salir de noche			wychodzić wieczorem	
la noche			wieczór; noc	
leer			czytać	
la novela			powieść	
jugar al fútbol			grać w piłkę nożną	
escribir			pisać	
coleccionar			zbierać; kolekcjonować	
el sello			znaczek pocztowy	
la casa			dom	
el zapato			but	
el jamón			szynka	
el gato			kot; kocur	
la gata			kotka	
cero			zero	
la comida			jedzenie	
el queso			ser	
la guerra			wojna	
la colección			zbiór; kolekcja	
el jefe			szef	
la jefa			szefowa	
cincuenta			pięćdziesiąt	
el gol			gol; bramka	
el cine			kino	
el quilo (kilo)			kilo	
la guitarra			gitara	
cuenta			płaci; opowiada	
contar			płacić; opowiadać	(ue)
el zoo			zoo	
general			ogólny	
joven			młody	
se llama			nazywa się	
llamarse			nazywać się	
italiano			włoski	
sí			tak	
tiene			ma	
el profesor			nauczyciel	
la profesora			nauczycielka	
el banco			bank	
trabajo de			pracuję jako	
la arroba			małpa	
buenos días			dzień dobry	
buenas tardes			dobry wieczór	
buenas noches			dobry wieczór; dobranoc	
¿Qué tal?			Co słychać?	
adiós			cześć; do zobaczenia	
hasta luego			do zobaczenia; do widzenia	
¿Cómo estás?			Jak się masz?; Jak sie masz?	
bien			dobrze	
tú			ty	
muy bien			bardzo dobrze	
turco			turecki	
belga			belgijski	
marroquí			marokański	
estadounidense			północnoamerykański	
el cocinero			kucharz	
la cocinera			kucharka	
el secretario			sekretarz	
la secretaria			sekretarka	
el periodista			dziennikarz	
la periodista			dziennikarka	
el juez			sędzia	
la jueza			sędzina	
el médico			lekarz	
la médica			lekarka	
el presidente			prezydent	
la presidenta			pani prezydent	
estudiar			uczyć się; studiować	
el bolígrafo			długopis	
se escribe			pisze się	
se dice			mówi się	
el diseñador gráfico			grafik komputerowy	
la diseñadora gráfica			kobieta - grafik komputerowy	
el amigo			przyjaciel	
la amiga			przyjaciółka	
por favor			proszę	
la ropa			ubranie	
las vacaciones			wakacje; ferie; urlop	
la afición			hobby	
