Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
la abuela	N		babcia	
la confirmación	N		bierzmowanie	
los gemelos	N		bliźnięta	
los mellizos	N		bliźnięta	
el hermano	N		brat	
el hermanastro	N		brat przyrodni; przyrodni brat	
ser la oveja negra	VP		być czarną owcą	
estar embarazada	VP		być w ciąży	
la ex-mujer	N		była żona	
el ex-marido	N		były mąż	
el bautismo	N		chrzest	
la tía	N		ciotka	
la hija	N		córka	
el miembro de la familia	NP		członek rodziny; krewny	
la dama de honor	NP		druhna	
el abuelo	N		dziadek	
los niños	N		dzieci	
el Día de la Abuela	NP		Dzień Babci	
el Día del Abuelo	NP		Dzień Dziadka	
el Día del Niño	NP		Dzień Dziecka	
el Día de la Madre	NP		Dzień Matki	
el Día del Padre	NP		Dzień Ojca	
el Día de San Valentin	NP		Dzień Zakochanych; Walentynki	
las felicitaciones	N		gratulacje	
el día de santo	NP		imieniny	
el aniversario	N		jubileusz	
pelear	V		kłócić się	
tener una pelea	VP		kłócić się	
discutir	V		kłócić się	
el amante	N		kochanek	
la amante	N		kochanka	
el conflicto generacional	NP		konflikt pokoleń	
el concubinato	N		konkubinat	
el familiar	N		krewny	
el amigo	N		przyjaciel; kolega; kumpel	
el compañero	N		kolega; kumpel	
el primo	N		kuzyn	
la prima	N		kuzynka	
la madrastra	N		macocha	
el matrimonio	N		małżeństwo	
el esposo	N		małżonek	
la esposa	N		małżonka; żona	
la madre	N		matka	
mamá	N		mama	
la madrina	N		matka chrzestna	
el marido	N		mąż	
la luna de miel	NP		miesiąc miodowy	
la familia más cercana	NP		najbliższa rodzina	
la novia	N		narzeczona; panna młoda; sympatia; dziewczyna	
el novio	N		narzeczony; pan młody; sympatia; chłopak	
el hijo ilegítimo	NP		nieślubne dziecko	
celebrar	V		obchodzić; świętować	
festejar	V		obchodzić; świętować	
esperar un hijo	VP		oczekiwać dziecka	
heredar	N		odziedziczyć	
el padre	N		ojciec	
el padrino	N		ojciec chrzestny; świadek	
el padrastro	N		ojczym	
cuidar de	V		opiekować się	
abandonar el nido	VP		opuścić gniazdo	
la petición de mano	NP		oświadczyny	
la pareja	N		partner; para; towarzysz życia	
la Primera Comunión	NP		pierwsza komunia św.	
