Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===

# === 2 ===
вредан			pilny; staranny; pracowity	
девојка	f		dziewczyna	
добар			dobry	
друг	m		towarzysz; przyjaciel; kolega	
историјски			historyczny	
јутро	n		poranek	
лепи			ładny	
млади			młody	
мој			mój	
ово			to	
одличан			doskonały; świetny	
пријатељ	m		przyjaciel	
професор	m		wykładowca	
сестра	f		siostra	
студент	m		student	
студенткиња	f		studentka	
такође			także	
факултет	m		fakultet	
хвала!			dziękuję!	
Србин	m		Serb	
Српкиња	f		Serbka	
Срби	pl		Serbowie	
Рус	m		Rosjanin	
Рускиња	f		Rosjanka	
Руси	pl		Rosjanie	
Енглез	m		Anglik	
Енглескиња	f		Angielka	
Енглези	pl		Anglicy	
Француз	m		Francuz	
Францускиња	f		Francuzka	
Французи	pl		Francuzi	
Италијан	m		Włoch	
Италијанка	f		Włoszka	
Италијани	pl		Włosi	
Немац	m		Niemiec	
Немица	f		Niemka	
Немци	pl		Niemcy	
Добро јутро!			Dzień dobry!	rano
Добар дан!			Dzień dobry!	
Добро вече!			Dobry wieczór!	
Како сте?			Jak się macie?	
Хвала, добро сам.			Dziękuję, mam się dobrze.	
А како сте ви?			A wy jak się macie?	
И ја сам добро.			I ja mam się dobrze.	
Хвала, није лоше.			Dziękuję, nieźle.	
До виђења!			Do widzenia!	
Збогом!			Żegnaj!	
Лаку ноћ!			Dobranoc!	
Здраво!			Cześć!	
Видимо се!			Do zobaczenia!	
Пријатно!			Wszystkiego dobrego!	
# === 3 ===
бака	f		babcia	
велик			duży	
гимназија	f		liceum	
деда	m		dziadek	
домаћица	f		gospodyni domowa; gospodyni; matka rodziny	
ђак	m		uczeń, uczennica	
зове се			nazywa się	
изволите			proszę	
језик	m		język	
књижевност	f		literatura	
лекар	m		lekarz	
мајка	f		matka	
млађи			młodszy	
отац	m		ojciec	
породица	f		rodzina	
прилично			dość dużo; wydatnie; dość	
сигурно			na pewno; oczywiście	
синко			synku	
српски			serbski	
студира			studiuje; bada	
студирати			badać; studiować	
уђите!			wejdźcie!	
ући			wejść	
ученица	f		uczennica	
отац			ojciec	
тата			tata	
мајка			matka	
мама			mama	
брат			brat	
бата			braciszek	
сестра			siostra	
сека			siostrzyczka	
баба			babka	
бака			babcia	
деда			dziadek	
дека			dziadek	
теча			wujek	mąż siostry ojca lub matki
стриц			stryjek	brat ojca
ујак			wujek	brat matki
тетка			ciotka	siostra matki lub ojca
стрина			stryjenka	żona brata ojca
ујна			ciotka	żona brata matki
жена			kobieta; żona	
# === 4 ===
домаћица	f		gospodyni domowa; gospodyni; matka rodziny	
башта	f		sad; ogród	
бео			biały	
брачни			małżeński	
брачни кревет			łóżko małżeńskie; łóżko podwójne	
брачни пар			para małżeńska	
веома	adv		bardzo	
вишеспратница	f		dom piętrowy	
двориште	n		dziedziniec; podwórze	
дечји			dziecięcy	
дечја соба			pokój dziecięcy	
дечје игралиште			plac zabaw dla dzieci	
дневни			dzienny	
дневна соба			salon	
домаћин	m		gospodarz domu; głowa rodziny	
доста	adv		dość; wystarczająco	
жут			żółty	
завеса	f		zasłonka; kurtyna	
затим	adv		następnie; potem; później	
зграда	f		budynek	
зид	m		mur; ściana	
испред	prep		przed; z przodu	
још	adv		jeszcze	
комода	f		komoda	
кревет	m		łóżko	
купатило	n		łazienka	
кухиња	f		kuchnia	
кухињски			kuchenny	
кухињски елементи			meble kuchenne	
кућа	f		dom	
лампа	f		lampa	
машина за прање посуђа			zmywarka	
машина за прање веша			pralka	
микроталасна пећ			mikrofalówka	
намештај	m		meble	
огледало	n		lustro	
одећа	f		odzież; ubrania	
одмах	adv		natychmiast; od razu	
округао			okrągły	
орман	m		szafa	
под	m		podłoga	
посуђе			naczynia	
прозор	m		okno	
просторан			obszerny; przestronny	
савремен			współczesny	
светао			jasny	
слика	f		obraz	
соба	f		pokój	
спаваћа соба			sypialnia	
спрат	m		piętro	
сређивати			sprzątać; porządkować	
стан	m		mieszkanie	
сто	m		stół	
столица	f		krzesło	
сточић	m		stolik	
судопера	f		zlew	
сунчан			słoneczny	
тамо			tam	
тепих	m		dywan	
тераса	f		balkon	
трећи			trzeci	
трећи спрат			trzecie piętro	
тросед	m		sofa; tapczan	
угао	m		kąt	
удобан			wygodny	
хајдемо!			chodźmy!	
фотеља	f		fotel	
фрижидер	m		lodówka	
цвеће			kwiaty	
шпорет	m		kuchenka	
Добро дошао!			Witaj!	r.m.
Добро дошла!			Witaj!	r.ż.
Добро дошли!			Witajcie!	
Боље те нашао! (odpowiedź na "Witaj!" - r.m.)				
Боље те нашла! (odpowiedź na "Witaj!" - r.ż.)				
Боље вас нашли! (odpowiedź na "Witajcie!")				
Свака ти част!			Brawo! Zuch!	
Свака вам част!			Brawo! Zuchy!	
Дођите код мене у госте!			Odwiedźcie mnie! Przyjdźcie do mnie w gości!	
беж			beżowy	
браон			brązowy	
зелен			zielony	
љубичаст			fioletowy	
наранџаст			pomarańczowy	
плав			niebieski	
розе			różowy	
сив			szary	
тегет			granatowy	
црвен			czerwony	
црн			czarny	
# === 5 ===
видети			widzieć	
град	m		miasto	
главни град			stolica	
десни			prawy	
диван			piękny; wspaniały; dziwny	
длан	m		dłoń	
ера	f		era	
занимљив			interesujący	
зоолошки			zoologiczny	
зоолошки врт			ogród zoologiczny	
излетиште	n		miejsce odpoczynku poza miastem	
као	adv		tak jakby	
као	pro		jak	
кеј	m		nabrzeże	
колач	m		ciasto	
купати се			kąpać się	
леви			lewy	
музеј	m		muzeum	
обала	f		brzeg	
одмарати се			odpoczywać	
омиљен			ulubiony	
поглед	m		widok	
позивати			zapraszać	
познат			znany	
позориште	n		teatr	
Народно позориште			Teatr Narodowy	
посластичарница	f		kawiarnia; cukiernia	
прво	adv		najpierw; po pierwsze; przede wszystkim	
преко	prep		podczas; w trakcie; naprzeciw	
преко лета			latem	
преко зиме			zimą	
преко пута			naprzeciwko	
рад	f		praca	
разгледати			oglądać	
симбол	m		symbol	
сјајан			jaśniejący; błyszczący	
скулптор	m		rzeźbiarz	
споменик	m		pomnik	
сунчати се			opalać się	
стваран			prawdziwy	
стварно?			naprawdę?	
тврђава	f		twierdza	
чесма	f		źródło	
шетња	f		spacer	
један			jeden	
два			dwa	
три			trzy	
четири			cztery	
пет			pięć	
шест			sześć	
седам			siedem	
осам			osiem	
девет			dziewięć	
десет			dziesięć	
# === 6 ===
бавити се чим			trenować coś; ćwiczyć coś	
базен	m		basen	
биоскоп	m		kino	
бријати се			golić się	
важити			być uważanym za; słynąć jako; być w użyciu; być ważnym; działać	
Важи!			W porządku! Dobrze! Niech będzie!	
вечера	f		kolacja	
вечерати			jeść kolację	
видети се			spotkać się	
враћати се			wracać	
гужва	f		ścisk; tłok; bójka	
бити у гужви			być zajętym; nie mieć wolnego czasu	
два пута недељно			dwa razy w tygodniu	
договорено!			Umowa stoi!	
домаћи			domowy	
домаћи задатак			praca domowa	
доручак	m		śniadanie	
доручковати			jeść śniadanie	
заједно			razem; wspólnie	
заузет			zajęty	
изгледати			wyglądać	
излазити			wychodzić	
ићи			iść; jechać	
ићи аутобусом			jechać autobusem	
ићи пешице			iść pieszo	
каснити			spóźniać się	
кафић	m		kawiarnia	
кретати			wyjeżdżać; wyruszać	
менза	f		stołówka	
мислити			myśleć; rozmyślać	
обавеза	f		obowiązek	
облачити се			ubrać się	
одговарати			odpowiadać	
одлазити			wyruszać; odjeżdżać; odchodzić	
озбиљан			poważny	
онда	adv		zatem; wtedy	
отићи			odejść; odjechać	
пешице	adv		pieszo	
пливање	n		pływanie	
посећивати			zwiedzać; odwiedzać	
починак	m		odpoczynek	
почињати			zaczynać; zaczynać się	
прати			myć; prać	
прати зубе			myć zęby	
предлагати			proponować	
радити			robić	
радити јутарњу гимнастику			robić gimnastykę poranną	
радан			robotniczy	
радни дан			dzień roboczy	
рачунар	m		komputer	
ручак	m		obiad	
ручати			jeść obiad	
семинарски			z seminarium	
семинарски рад			praca na kursie; praca na seminarium	
сретати			spotykać	
стизати			dogonić; zdążyć; przybyć	
студије	f pl		studia	
тренинг	m		trening	
тренирати			trenować	
трчати			biegać	
туширати се			brać przysznic	
