Phrase	Grammar	Transcription	Translation	Notes
бомбона	f		cukierek	
бомбоњера	f		bombonierka	
векна	f		bułka paryska	
виршла	f		parówka	
гибаница	f		gibanica	warstwowe ciasto z młodym serem, narodowa potrawa serbska
готовина	f		gotówka	
платити у готовини			płacić gotówką	
динар	m		dinar	waluta serbska
дужан			winien; zobowiązany	
бити дужан			być winnym; mieć obowiązek	
ђеврек	m		obwarzanek	
желе	n		galaretka	
желе бомбоне			marmolada	
желети			chcieć; życzyć sobie	
игла	f		igła; szydło; szydełko; szpilka	
од игле до локомотиве			od mydła do powidła; wszystko	
изабрати			wybierać	
јабука	f		jabłko; jabłoń	
кајмак	m		miękki solony ser z tłustej śmietany	narodowa potrawa serbska
качкаваљ	m		ser	
кафа	f		kawa	
кекс	m		ciasto	
кисео			kwaśny	
кисела вода			woda mineralna	
кисели краставци			ogórki kwaszone	
кисело млеко			kwaśne mleko	
кифла	f		rogalik	
кобасица	f		kiełbasa	
колико			ile	
колико кошта?			ile kosztuje?	
колико сам дужан?			ile jestem winny?	
колица	n		wózek	
коштати			kosztować	
коре за питу			cienkie arkusze ciasta	
кредитна картица	f		karta kredytowa	
купац	m		klient; kupujący	
куповина			zakupy	 
ићи у куповину			iść na zakupy	
кусур	m		reszta	
локомотива	f		lokomotywa	
љубазан			uprzejmy	
месо	n		mięso	
млевено месо			mięso mielone	
млеко	n		mleko	
млечни			mleczny	
најлон-кеса	f		reklamówka	
намирница	f		produkt spożywczy	
направити			zrobić; urządzić; utworzyć
неопходан			niezbędny	
новац			pieniądze	
новчаник	m		portfel	
одлазити			odchodzić; odjeżdżać	
пара	f		1/100 dinara; "grosz"; pieniążek	
паре	f pl		pieniądze	potocznie
паста	f		pasta	
паста за зубе			pasta do zębów	
плаћати			płacić	
плаћати у готовини			płacić gotówką	
плаћати кредитном картицом			płacić kartą kredytową	
поврће	n		warzywa	
погачица	f		bułka	
поморанџа	f		pomarańcza	
пошто је?			po ile jest?	
пошто су?			po ile są?	
продавац	m		sprzedawca	
продавница	f		sklep	
производ	m		produkt; towar	
рачун	m		rachunek	
самопослуга	f		samoobsługa	
сапун	m		mydło	
слаткиш	m		coś słodkiego	
слаткиши	pl		słodycze	
спремати се			przygotowywać się	
стављати			stawiać; kłaść	
сухомеснати производи			wędzonki	
торба	f		torba	
тржни			handlowy; targowy	
тржни центар			centrum handlowe	
упаковати			zapakować	
хигијена	f		higiena	
чоколада	f		czekolada	
шампон	m		szampon	
шампон за косу			szampon do włosów	
шницла	f		kotlet	
фаширана шницла			kotlet mielony	
шунка	f		szynka	
