Phrase	Grammar	Transcription	Translation	Notes
күз			oko	
дүрт			cztery	
үбү			pocałunek	
сүз			słowo	
күк			niebo; niebieski	
күп			dużo	
күл			jezioro	
күлмәк			sukienka; koszula	
бәйрәм			święto	
әйбәт			dobry; dobrze	
тәрәзә			okno	
бүлмә			pokój; izba	
мәктәп			szkoła	
бүләк			podarunek	
нәрсә?			co?	
эш			praca	
бер			jeden	
без			my	
сез			wy	
бүген			dzisiaj	
кеше			człowiek	
тел			język	
эт			pies	
кем?			kto?	
түгел			nie	
тегендә			tam	
тәмле			smaczny; smacznie	
дәрес			lekcja	
әкрен			wolny; wolno; cichy; cicho	
әни			mama	
әти			tata	
ике			dwa	
биш			pięć	
сигез			osiem	
мин			ja	
син			ty	
ил			kraj	
кирәк			trzeba	
тимер			żelazo; żelazny	
бир!			daj!	
кил!			przyjdź! przyjedź! podejdź!	
нинди?			jaki?	
биредә			tutaj	
бик			bardzo	
тиз			szybko; szybki	
бит			twarz; przecież	
икмәк			chleb	
ипи			chleb	
унбер			jedenaście	
унике			dwanaście	
ундүрт			czternaście	
унбиш			piętnaście	
уналты			szesnaście	
унсигез			osiemnaście	
