Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
овоз			dźwięk; głos	
ва			i; a	
дуд			dym	
дур			daleko; daleki	
нур			promień; światło	
рӯй			twarz	
мӯй			włos; włosy	
мӯйлаб			wąsy	
мургобӣ			kaczka	
тӯр			sieć; siatka	
мӯза			wysokie buty; kozaki	
дароз			długi	
пӯстин			palto	
мӯзадӯз			szewc	
бино			budynek	
бинӣ			nos	
шир			mleko	
риш			broda	
зебо			piękny	
калон			duży	
нав			nowy	
дорад			ma	
китоб			książka	
рӯз			dzień	
зуд			szybko; szybki	
бӯр			kreda	
пур			pełny	
танӯр			tanur	piec do wypieku chleba
тӯп			armata	
бобо			dziadek	
бобоям			mój dziadek	
сӯзанӣ			suzane	ręcznie wyszywany dywan na ścianę
тӯппӣ			czapeczka	
бозӣ			gra; zabawa	
дурӣ			dal	
бародарӣ			braterstwo	
дӯстӣ			przyjaźń	
тӯпчӣ			artylerzysta	
медӯзад			szyje	
хуб			dobrze; dobry	
медонад			zna; wie	
бародари Шариф			brat Szarifa	
модар			matka	
# === 2 ===
каланд			ścierka	
ток			winnica	
нок			grusza	
пиёла			czarka	
коса			misa	
пой			noga	
панҷа			łapa	
мактаб			szkoła	
покиза			czysto; czysty	
тахта			deska	
пахта			bawełna	
тан			ciało	
кӯза			dzban	
кӯмак			pomoc	
куча			ulica	
мағоза			sklep	
дафтар			zeszyt	
харидам			kupiłem	
харидем			kupiliśmy	
ман			ja	
каду			tykwa	
пиёз			cebula	
коштам			zasiałem	
мекоранд			sieją	
деҳқон			wieśniak; rolnik	
деҳқонон			rolnicy; wieśniacy	
аз			z	
газвор			tkanina; materiał	
бофта мешавад			tka się	
мо			my	
ба дӯстам			mojemu przyjacielowi	
хат			list	
навиштам			napisałem	
# === 3 ===
дег			kocioł; sagan	
девор			ściana	
дер			późno, późny	
дина			wczoraj	
дигар			inny	
дил			serce	
дирӯз			wczoraj	
мудир			kierownik	
водӣ			dolina	
Водии Вахш			Dolina rzeki Wachsz	
шона			grzebień	
муш			mysz	
шер			lew	
сомонӣ			somoni	waluta w Tadżykistanie
дирам			diram	1/1000 somoni
як			jeden	
сад			sto	
тира			ciemny	
теша			motyka	
табар			topór; siekiera	
тиреза			okno	
дар таги			pod	
тез			ostry	
коргар			robotnik	
коргарон			robotnicy	
киштӣ			statek	
месозанд			budują	
кор мекунанд			pracują	
хона			dom; pokój	
имрӯз			dzisiaj	
пагоҳ			jutro	
мешавад			będzie; bywa	
шаҳр			miasto	
кушоданд			otworzyli	
дарознах			długowłóknisty	
# === 4 ===
лола			tulipan; mak	
жола			grad	
мол			towar	
мола			brona	
сол			rok	
лона			gniazdo; nora	
бел			łopata	
сел			błoto; potok; powódź	
хол			kret	
хола			ciotka	ze strony matki
долой			korytarz	
бол			skrzydło	
боло			góra; wierzch	
хаёл			marzenie; wymysł; fantazja	
оила			rodzina	
нӯл			dziób	
кӯл			jezioro	
лой			błoto; glina	
лиф			pędzel	
лела			palec	
ангушт			palec	
чило			palec	
лакка			plama	
лаб			warga; brzeg	
лашкар			wojsko	
сурх			czerwony	
Лола сурх аст.			Tulipan jest czerwony.	
дар			w; na; drzwi	
дашт			step	
мерӯяд			rośnie	
замин			ziemia	
заминро			ziemię	
ба			do; ku	
бирез			nalej	
латтаро гир ва тахтаро пок кун			weź ścierkę i wytrzyj tablicę	
лонаи харгӯш			zajęcza nora	
ёфтанд			znaleźli	
бачагон			dzieci	
калону баланд			duży i wysoki	
ноҳия			rejon; okolica	
имсол			w tym roku	
беморхона			szpital	
беморхонаи нав			nowy szpital	
кушода мешавад			jest otwierany	
дар болои дарахт			na drzewie	
лаклак			bocian	
буд			był	
# === 5 ===
мекоранд			sieją	
хат			list	
дашт			step	
ғоз			gęś	
ғор			pieczara; grota; grot	
мағора			pieczara; grota	
ғура			zielone, niedojrzałe winogrona	
нағора			bęben	
ғалбер			sito	
бағал			pazucha	
боғ			sad; ogród	
боғбон			ogrodnik	
теғ			ostrze; miecz	
теға			wierzchołek; szczyt	
ғалла			ziarno	
равған			oliwa; olej	roślinny
оғил			chlew	
ғӯла			kłoda	
доғ			plama	
шағол			szakal	
зағир			len	
парранда			ptak	
нағз			dobrze; dobry	
мехонад			uczy się; uczyć się	
арра			piła	
арра кардам			przepiłowałem	
гов			krowa; byk	
говҳо			krowy; byki	
меистанд			stoją	
дар рӯи			na; na powierzchni	
менависем			piszemy	
беша			las	
растанй			roślina	
коғаз			papier	
Ғафур			Gafur	imię męskie
Тағо			Tago; wujek	imię męskie
# === 6 ===
ҷома			chałat	
ҷомаи нав			nowy chałat	
чӯҷа			kurczak	
лаҷом			uzda	
лаҷом кардам			okiełznałem	
ҷорӯб			miotła	
бо ҷорӯб			miotłą	
ҷон			dusza; życie	
ғиҷҷак			gidżdżak	instrument muzyczny podobny do skrzypiec
ғиҷҷак менавозад			gra na gidżdżaku	
куҷо			gdzie? dokąd?	
дар куҷо?			gdzie?	
ба куҷо?			dokąd?	
Дар куҷо истодай?			Gdzie stoisz?	
Ба куҷо меравй?			Dokąd idziesz?	
дараҷа			stopień	
Имрӯз даҳ дараҷа гарм аст.			Dziś jest 10 stopni ciepła.	
натиҷа			wynik; rezultat	
Ҷӯра			Dżura	imię męskie
Ҷӯрабек			Dżurabek	imię męskie
Ҷалол			Dżalol	imię męskie
мегузарад			przemija; upływa	
ҷуроб			skarpety	
ҷой			miejsce	
каҷ			krzywy	
коҷ			sosna	
харид			kupił	
рангин			kolorowy; wielobarwny	
мебофад			robi na drutach	
нақша			plan	
ҷамъоварй			zbiory	
ҷамъоварии пахта			zbiory bawełny	
иҷро кард			wypełnił	
забони тоҷикй			język tadżycki	
меомӯзем			uczymy się	
# === 7 ===
мехонад			uczy się; uczyć się	
даҳан			usta	
баҳо			ocena	
баҳор			wiosna	
баҳор омад			nadeszła wiosna	
роҳ			droga	
моҳ			miesiąc	
моҳтоб			księżyc	
моҳӣ			ryba	
оҳанг			melodia; ton	
ҳафт			siedem	
ҳашт			osiem	
нӯҳ			dziewięć	
даҳ			dziesięć	
даҳум			dziesiąty	
кӯҳ			góra	
кӯҳҳо			góry	
саҳв			błąd; pomyłka	
баромаданд			wyszli; pojawili się; wzeszli	
алаф			trawa; siano	
лолаю ҳам алаф			tulipany i trawa	
чоҳ			studnia	
яма оҳу			sarna; gazela	
ҳайвон			zwierzę	
оҳан			żelazo	
шаб			noc; nocą	
офтоб			słońce	
метобад			świeci	
дӯст			przyjaciel	
ҳаст			jest; znajduje się	
ҳафта			tydzień	
ҷӯй			strumień	
моҳӣ гирифтанд			złapali rybę	
синф			klasa	
ҳавлӣ			podwórko; dom z podwórkiem; dwór	
дарахт			drzewo	
бисёр			dużo	
дар фасли тирамоҳ			jesienią; podczas jesieni	
борон			deszcz	
борон меборад			pada deszcz	
аз кӯҳҳо мегузарад			przechodzi, biegnie przez góry	
Аҳмад			Ahmad	imię męskie
Муҳаммад			Muhammad	imię męskie
Баҳром			Baharom	imię męskie
# === 8 ===
қалам			pióro; długopis; pióro do pisania	
қайчӣ			nożyce	
қулф			zamek	
қулф кардам			zamknąć na klucz	
уқоб			orzeł; berkut	
қафас			klatka	
қаиқ			łódka; barka	
қишлоқ			wieś; osada	
қаймоқ			śmietana	
фақат			tylko	
соқ			goleń	
баққолӣ			artykuły spożywcze; spożywczy	
хат менависем			piszemy listy	
мақола			artykuł	
рафиқ			towarzysz	
барқ			błyskawica; elektryczność	
шарқ			wschód	
халқ			naród	
рақам			cyfra; liczba; numer	
либосдӯз			krawiec	
либос			odzież; ubrania; suknia	
мебурад			rozcina; kroi	
дарё			rzeka	
дарёи Аму			rzeka Amudaria	
қаиқ меронанд			pływają na barkach	
теппа			pagórek; wzgórze	
мепарад			lata	
Боқӣ			Boki	imię męskie
# === 9 ===
дарё			rzeka	
ҳарф			litera	
наъл			podkowa	
лаъл			rubin	
қалъа			twierdza	
шӯъла			światło; płomień; iskra	
воқеъ аст			znajduje się; jest położony	
такя			podpora; oparcie	
ҳамён			portfel	
бӯрё			mata	
чоряк			ćwierć	
ошёна			gniazdo; piętro	
дунё			świat; wszechświat	
шашяк			jedna szósta	
вилоят			region	
Осиёи Марказӣ			Azja Centralna	
кӯча			ulica	
васеъ			szeroki	
се			trzy	
раъд			grom	
раъду барқ			burza	dosł. grom i błyskawica
бачагонро			dzieci	
таълим медиҳанд			uczą	
талабагон			uczniowie	
мераванд			idą	
шӯъба			dział; wydział; oddział	
баъд			po; potem	
баъд аз			po tym gdy	
шеър			wiersz	
таълим			nauka	
якчанд			kilka	
нерӯгоҳи барқӣ			elektrownia	
сохта шудааст			zbudowano	
бад			źle; zły	
аъло			świetnie; świetny; doskonale; doskonały	
ало			pstry	
