Phrase	Grammar	Transcription	Translation	Notes
қалам			pióro; długopis	
қайчӣ			nożyce	
қулф			zamek	
қулф кардам			zamknąć na klucz	
уқоб			orzeł	
қафас			klatka	
қаиқ			łódka; barka	
қишлоқ			wieś; osada	
қаймоқ			śmietana	
фақат			tylko	
соқ			goleń	
баққолӣ			artykuły spożywcze; spożywczy	
хат менависем			piszemy listy	
мақола			artykuł	
рафиқ			towarzysz	
барқ			błyskawica; elektryczność	
шарқ			wschód	
халқ			naród	
рақам			cyfra; liczba; numer	
либосдӯз			krawiec	
либос			odzież; ubrania; suknia	
мебурад			rozcina; kroi	
дарё			rzeka	
дарёи Аму			rzeka Amudaria	
қаиқ меронанд			pływają na barkach	
теппа			pagórek; wzgórze	
мепарад			lata	
Боқӣ			Boki	imię męskie
