Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
гӯш			ucho	
ӯ			on	
бӯй			zapach	
тӯфон			tajfun	
мӯрча			mrówka	
шӯр			solony	
хӯша			kłos	
ӯрду			armia	
пӯст			skóra	
кӯр			ślepy	
роғ			szczelina	
ғайр			obcy	
зоғ			gałka	
ғунча				
ғук			żaba	
ғуруб			zachód	
ғӯза			bawełna	
ғунда				
агба			przełęcz	
қабл аз			zanim	
қу			łabędź	
яроқ			broń	
қабила			ród; plemię	
қоқ			suchy	
қошуқ			łyżka	
қош			brew	
ақл			rozum	
бақия			resztka	
қавс			nawias	
вақт			czas	
қисм			część	
ҳама			wszystko	
соҳил			brzeg	
ҳақ				
ҳукм			rozkaz	
ҳезум			drewno	
субҳ			poranek	
соҳиб			gospodarz	
рӯбоҳ			lis	
оҳак				
муҳит			środowisko	
муҳаббат			miłość	
ҷо			miejsce	
тоҷ			korona	
панҷ			pięć	
ҷуфт			para	
маҷлис			zebranie	
маҷнунбед				
кунҷ			kąt	
тобеъ			zależny	
тулуъ			wschód	
манъ			zakaz	
меъда			żołądek	
толеъ			los	
баъзе			niektóre	
маълум			znany	
маънӣ			znaczenie	
абадӣ			wiecznie	
аврат			kobieta	
агар			jeśli	
адад			liczba	
эзор			spodnie	
эзоҳ			wyjaśnienie	
экран			ekran	
элак			sito	
обод				
об			woda	
огоҳ				
ибтидо			początek	
иваз				
ид			święto	
изо			wstyd	
убур кардан			przechodzić	
угро			potrawa ugro	
узв			organ	
узр ҳостан			prosić o przebaczenie	
ӯзбек			Uzbek	
тӯша				
тӯтӣ			papuga	
аждаҳо			smok	
азиз			drogi	
айнак			okulary	
амак			wujek	
эмин			bezpiecznie	
энергия			energia	
эрка				
икс			iks	
илм			nauka	
имзо			podpis	
ӯйғур			Ujgur	
ука			młodszy brat	
улфат			kolega	
эпос			epos	
озах			brodawka	
озод			wolny	
океан			ocean	
умр			wiek	
рӯд			rzeka	
гӯшт			mięso	
амал			czynność	
анбор			skład	
апа			starsza siostra	
эрод			uwaga	
Эстония			Estonia	
этнограф			etnograf	
эфир			eter	
олам			świat	
омадан			przychodzić	
он сӯ			tamta strona	
ирода			wola	
ислоҳ			poprawka	
истгоҳ			przystanek	
умумӣ			wspólny	
унвон			stopień; stanowisko	
услуб			metoda; sposób	
усто			majster; kowal	
чӯпон			pasterz; pastuch	
асал			miód	
атр			perfumy	
афсӯс			żal	
аҳбор			wiadomość	
аъзо			organ; członek	
эътибор			autorytet	
эҳсос			uczucie	
ифода			wyrażenie	
ифшо			odkrycie	
иҳтисор				
ишва				
ишқ			miłość	
утоқ			pokój; izba	
уфуқ			horyzont	
эҷод кардан			czynić; tworzyć	
бале			tak jest; zuch	
орд			mąka	
осмон			niebo	
осон			łatwy	
оташ			płomień; ogień	
уштур			wielbłąd	
хӯрок			jedzenie	
тӯҳфа			podarunek	
Қӯлоб			Kulab	
ағба			przełęcz	
ашк			łza	
аҳд			umowa	
аҷабо			zdumiewający	
себ			jabłko	
рег			piasek	
охир			koniec	
оча			matka	
ошиқ			zakochany	
оғоз			początek	
иғвогар			podjudzać	
иқлим			klimat	
иҷозат			pozwolenie	
иҳота кардан			okrążyć	
идома додан			kontynuować	
олу			śliwa	
хук			świnia	
сӯзан			igła	
сӯхтан			palić się	
сабӯ			gliniany dzban	
шавҳар			mąż	
бӯ			zapach	
овоз			dźwięk; głos	
дуд			dym	
рӯй			twarz	
мӯй			włos; włosy	
тӯр			sieć; siatka	
рӯз			dzień	
тӯп			armata	
кӯза			dzban	
каду			tykwa	
дег			kocioł; sagan	
имрӯз			dzisiaj	
бел			łopata	
оила			rodzina	
буд			był	
ғоз			gęś	
ғор			pieczara; grota; grot	
боғ			sad; ogród	
оғил			chlew	
зағир			len	
Тағо			Tago; wujek	imię męskie
ҷон			dusza; życie	
каҷ			krzywy	
баҳор			wiosna	
роҳ			droga	
моҳ			miesiąc	
моҳтоб			księżyc	
моҳӣ			ryba	
кӯҳ			góra	
алаф			trawa; siano	
офтоб			słońce	
ҷӯй			strumień	
уқоб			orzeł; berkut	
шарқ			wschód	
халқ			naród	
рақам			cyfra; liczba; numer	
наъл			podkowa	
лаъл			rubin	
қалъа			twierdza	
шӯъла			światło; płomień; iskra	
раъд			grom	
шӯъба			dział; wydział; oddział	
баъд			po; potem	
аъло			świetnie; świetny; doskonale; doskonały	
ин			ten; ta; to	
хеле			bardzo	
