Phrase	Grammar	Transcription	Translation	Notes
рӯз			dzień
гӯш			ucho
ӯ			on
бӯй			zapach
кӯҳ			góra
мӯй			włosy
тӯфон			tajfun
мӯрча			mrówka
рӯй			twarz
шӯр			solony
хӯша			kłos
ӯрду			armia
кӯза			dzban
тӯр			siatka
пӯст			skóra
кӯр			ślepy
ғор			grot
роғ			szczelina
боғ			ogród
ғайр			obcy
тағо			wujek
зоғ			gałka
зағир			len
ғунча			
ғук			żaba
ғуруб			zachód
ғӯза			bawełna
ғунда			
агба			przełęcz
оғил			chlew
ғоз			gęś
қабл аз			zanim
қу			łabędź
яроқ			broń
қабила			ród; plemię
қоқ			suchy
қошуқ			łyżka
қош			brew
ақл			rozum
бақия			resztka
қавс			nawias
халқ			naród
вақт			czas
рақам			liczba
шарқ			wschód
қисм			część
ҳама			wszystko
моҳтоб			księżyc
соҳил			brzeg
ҳақ			
моҳ			miesiąc
ҳукм			rozkaz
моҳӣ			ryba
ҳезум			drewno
баҳор			wiosna
кӯҳ			góra
роҳ			droga
субҳ			poranek
соҳиб			gospodarz
рӯбоҳ			lis
оҳак			
муҳит			środowisko
муҳаббат			miłość
ҷон			dusza
каҷ			krzywy
ҷо			miejsce
тоҷ			korona
панҷ			pięć
ҷуфт			para
ҷӯй			
маҷлис			zebranie
маҷнунбед			
кунҷ			kąt
баъд			potem
раъд			grom
қалъа			twierdza
тобеъ			zależny
тулуъ			wschód
манъ			zakaz
аъло			doskonale
меъда			żołądek
лаъл			rubin
толеъ			los
баъзе			niektóre
маълум			znany
наъл			podkowa
маънӣ			znaczenie
абадӣ			wiecznie
аврат			kobieta
агар			jeśli
адад			liczba
эзор			spodnie
эзоҳ			wyjaśnienie
экран			ekran
элак			sito
обод			
об			woda
овоз			głos
огоҳ			
ибтидо			początek
иваз			
ид			święto
изо			wstyd
убур кардан			przechodzić
угро			potrawa ugro
узв			organ
узр ҳостан			prosić o przebaczenie
ӯзбек			Uzbek
ӯрду			armia
тӯша			
тӯтӣ			papuga
аждаҳо			smok
азиз			drogi
айнак			okulary
амак			wujek
эмин			bezpiecznie
энергия			energia
эрка			
икс			iks
илм			nauka
имзо			podpis
имрӯз			dzisiaj
ӯйғур			Ujgur
ука			młodszy brat
улфат			kolega
эпос			epos
озах			brodawka
озод			wolny
оила			rodzina
океан			ocean
умр			wiek
рӯд			rzeka
рӯз			dzień
гӯшт			mięso
гӯш			ucho
алаф			siano
амал			czynność
анбор			skład
апа			starsza siostra
эрод			uwaga
Эстония			Estonia
этнограф			etnograf
эфир			eter
олам			świat
омадан			przychodzić
он сӯ			tamta strona
ин			ten; ta; to
ирода			wola
ислоҳ			poprawka
истгоҳ			przystanek
умумӣ			wspólny
унвон			stanowisko; stopień
услуб			metoda; sposób
усто			majster; kowal
шӯъба			wydział; oddział
шӯъла			iskra; światło
чӯпон			pasterz; pastuch
асал			miód
атр			perfumy
афсӯс			żal
аҳбор			wiadomość
аъзо			członek; organ
эътибор			autorytet
эҳсос			uczucie
ифода			wyrażenie
ифшо			odkrycie
иҳтисор			
ишва			
ишқ			miłość
утоқ			pokój; izba
уфуқ			horyzont
эҷод кардан			czynić; tworzyć
бел			łopata
бале			tak jest; zuch
орд			mąka
осмон			niebo
осон			łatwy
оташ			ogień; płomień
офтоб			słońce
уштур			wielbłąd
уқоб			berkut; orzeł
дуд			dym
хӯша			kłos
тӯп			armata
хӯрок			jedzenie
тӯҳфа			podarunek
Қӯлоб			Kulab
ағба			przełęcz
ашк			łza
ақл			rozum
аҳд			umowa
аҷабо			zdumiewający
себ			jabłko
хеле			bardzo
рег			piasek
дег			kocioł
охир			koniec
оча			matka
ошиқ			zakochany
оғоз			początek
оҳак			
иғвогар			podjudzać
иқлим			klimat
иҷозат			pozwolenie
иҳота кардан			okrążyć
идома додан			kontynuować
каду			tykwa
олу			śliwa
буд			był
хук			świnia
сӯзан			igła
сӯхтан			palić się
сабӯ			gliniany dzban
шавҳар			mąż
бӯ			zapach
