Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
adam			człowiek	
ana			matka; główny; krewny	
baba			ojciec; tata	
ana baba			rodzice	
masa			stół	
oda			pokój; izba	
kapalı			zamknięty; pochmurny	
su			woda; sok	
ılık			ciepły	
nasıl			jaki? jak?	
kısa			krótki	
uzun			długi	
kalın			gruby	
kapı			drzwi; wrota	
palto			palto	
baş			główny; głowa; początek	
boş			pusty; wolny	
saç			włos; włosy	
dar			wąski; ciasny	
duvar			ściana	
sarı			żółty	
dost			przyjaciel	
ufak			mały; drobny	
dudak			wargi; usta	
kız			dziewczynka; córka; dziewczyna	
kadın			kobieta	
karı			żona	
tavan			sufit	
çalışkan			pracowity; staranny	
açık			otwarty; jasny; otwarcie; jasno	
altı			sześć	
kırmızı			czerwony	
çok			bardzo; dużo	
# === 2 ===
çok			bardzo; dużo	
ad			imię; nazwa	
bina			budynek	
pis			brudny; ohydny	
bir			jeden	
mavi			niebieski	
ev			dom	
er			żołnierz; szeregowy	
evet			tak	
ne			co? jaki? co za?	
fena			zły; źle	
refika			żona; małżonka	
aile			rodzina	
anne			mama	
talebe			uczeń; student; słuchacz	
amele			robotnik	
muallim			nauczyciel; wykładowca	
sinema			kino	
kaç			ile	
birkaç			kilka	
burada			tutaj	
şurada			tam	
orada			tam	
nerede			gdzie?	
dolap			szafa	
söz			słowo	
bir çok			dużo; wiele	
az			mało	
biraz			niewiele	
çanta			teczka	
öz			rodzony; własny; osobisty	
öz ana			własna matka	
ön			przód; przednia część; przedni	
koridor			korytarz	
muallime			nauczycielka	
kalem			pióro do pisania	
dolma kalem			długopis	
kurşunkalem			ołówek	
ve			i	
merhaba			dzień dobry	
nöbetçi			dyżurny; wartownik	
üç			trzy	
üzüm			winogrona	
büfe			bufet	
füze			rakieta	
lira			lira	jednostka waluty
kuruş			kurusz; piastr	
sokak			ulica	
para			pieniądze; moneta	
ufak para			drobne pieniądze	
bozuk para			drobne; pieniądze żeby rozmienić	
saat			godzina; zegar	
uzak			daleki; daleko	
kat			piętro	
numara			numer; ocena szkolna	
Rus			rosjanin	
Ankara			Ankara	
Moskova			Moskwa	
İstanbul			Stambuł	
Amerika			Ameryka	
sınıf			klasa; rodzaj wojsk	
avlu			dwór	
doktor			doktor; lekarz	
filim			film	
burun			nos; przylądek	
alın			czoło	
resim			rysunek; obraz	
isim			imię	
sır			sekret; tajemnica	
zam			dodatek	
bilet			bilet	
akıl			rozum; rozsądek	
lokanta			stołówka; restauracja	
okul			szkoła	
konuşma			rozmowa; dialog	
altın			złoto; złoty	
taş			kamień; kamienny	
torun			wnuk; wnuczka	
akraba			krewny; krewni	
# === 3 ===
fena			zły; źle	
defter			zeszyt	
delikanlı			młody człowiek; młodzieniec	
ders			lekcja	
dersane			klasa; audytorium; sala wykładowa	
dil			język	
ana dil			język ojczysty	
dört			cztery	
efendi			pan	
efendim			proszę pana	
müdür			dyrektor; kierownik	
otel			hotel	
telefon			telefon	
tembel			leniwy	
temiz			czysty; czysto	
tütün			tytoń	
ütü			żelazko	
Efendim?			Przepraszam, nie dosłyszałem?	
affedersiniz			przepraszam	
beş			pięć	
döşeme			podłoga	
ekmek			chleb	
erkek			mężczyzna; samiec	
iş			praca	
kitap			książka	
işçi			robotnik	
kardeş			brat; siostra	
erkekkardeş			brat	
kızkardeş			siostra	
kişi			człowiek; osoba	
kötü			zły	
kulüp			klub	
küçük			mały; młodszy	
küçük kardeş			młodszy brat	
memleket			kraj; państwo	
kim			kto?	
kolay			łatwy; łatwo	
