Phrase	Grammar	Transcription	Translation	Notes
defter			zeszyt	
delikanlı			młody człowiek; młodzieniec	
ders			lekcja	
dersane			klasa; audytorium	
dil			język	
ana dil			język ojczysty	
dört			cztery	
efendi			pan	
efendim			proszę pana	
müdür			dyrektor; kierownik	
otel			hotel	
telefon			telefon	
tembel			leniwy	
temiz			czysty; czysto	
tütün			tytoń	
ütü			żelazko	
Efendim?			Przepraszam, nie dosłyszałem?	
affedersiniz			przepraszam	
beş			pięć	
döşeme			podłoga	
ekmek			chleb	
erkek			mężczyzna; samiec	
iş			praca	
kitap			książka	
işçi			robotnik	
kardeş			brat; siostra	
erkekkardeş			brat	
kızkardeş			siostra	
kişi			człowiek; osoba	
kötü			zły	
fena			zły	
kulüp			klub	
küçük			mały; młodszy	
küçük kardeş			młodszy brat	
memleket			kraj; państwo	
kim			kto?	
kolay			łatwy; łatwo	
köy			wieś	
köylü			wieśniak	
yok			nie ma	
subay			oficer	
yol			droga	
şey			rzecz; przedmiot	
bir şey			coś; cokolwiek; nic	
yirmi			dwadzieścia	
yeni			nowy; dopiero co; niedawno	
eski			stary; dawny; pradawny	
yeşil			zielony	
yüksek			wysoki; wysoko	
büyük			duży; wielki; starszy	
yüz			sto	
yüz			twarz	
soy			ród; pochodzenie	
soyadı			nazwisko	
Soyadınız ne (dir)?			Jak macie na nazwisko?	
Soyadım Demiralp.			Mam na nazwisko Demiralp.	
şimdi			teraz; obecnie	
şükür			wdzięczność	
çok şükür			dziękuję bardzo; chwała Bogu	
tebeşir			kreda	
Türk			Turek	
Türk dili			język turecki	
Türkçe			język turecki; po turecku	
teşekkür etmek			dziękować	
teşekkür ederim			dziękuję	
beyaz			biały	
iyi			dobry; dobrze; zdrowy	
sovyet			radziecki; sowiet	
Rusya			Rosja	
Sovyet Rusya			Rosja Radziecka	
Türkiye			Turcja	
renk			kolor	
ne renk?			jakiego koloru?	
ne renktedir?			jakiego jest koloru?	
yalnız			tylko; jeden	
sandalye			krzesło	
kimse			ktoś	
buyurun			proszę bardzo	
buyurunuz			proszę bardzo	
Rusça			język rosyjski; po rosyjsku	
fabrika			fabryka	
arzu			chęć; pragnienie; życzenie	
ay			księżyc; miesiąc	
sene			rok	
yıl			rok	
demir			żelazo; żelazny	
demiryol			kolej	
çelik			stal; stalowy	
vişne			wiśnia	
şapka			czapka	
fötr şapka			kapelusz filcowy	
abla			starsza siostra	
kara			czarny	
deniz			morze	
Kara deniz			Morze Czarne	
sevimli			miły; sympatyczny	
kaynana			teściowa; świekra	
kayınpeder			teść	
kaynata			teść	
zaman			czas	
ne zaman?			kiedy?	
o zaman			wtedy	
zaman zaman			od czasu do czasu	
not			ocena	
teyze			ciocia (ze strony matki)	
dayı			wujek (ze strony matki)	
kuzen			kuzyn	
kuzin			kuzynka	
bekâr			kawaler; nie żonaty	
evli			żonaty; zamężna	
artık			już
