Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
adam			człowiek; mężczyzna	
masa			stół; tabela	
oda			pokój; izba	
kapı			drzwi; wrota	
duvar			ściana	
kız			dziewczynka; córka; dziewczyna	
kadın			kobieta	
altı			sześć	
bina			budynek	
bir			jeden; jakiś	
ev			dom	
er			żołnierz; szeregowy	
evet			tak	
üç			trzy	
doktor			doktor; lekarz	
okul			szkoła	
dersane			klasa; audytorium; sala wykładowa	
dört			cztery	
müdür			dyrektor; kierownik	
beş			pięć	
köylü			wieśniak	
subay			oficer	
fabrika			fabryka	
pencere			okno	
güzel			dobry; piękny; pięknie; ładny	
iki			dwa	
yedi			siedem	
sekiz			osiem	
dokuz			dziewięć	
on			dziesięć	
hayır			nie; dobro	
bu			ten; ta; to; ci	
ne?			co?	
o			tamten; tamta; tamto; tamci; on; ona; ono	
sandaliye			krzesło	
karyola			łóżko	
şu			ten; tamten; tamta; tamto; tamten tam; tamta tam; tamto tam; tamci tam	
komutan			dowódca	
memur			oficer; urzędnik	
kim?			kto?	
ihtiyar			stary; starzec; staruszka; w podeszłym wieku	
hasta			chory	
hastane			szpital	
kışla			baraki	
postane			poczta; urząd pocztowy	
# === 1 ===
adam			człowiek; mężczyzna	
masa			stół; tabela	
oda			pokój; izba	
kapı			drzwi; wrota	
duvar			ściana	
kız			dziewczynka; córka; dziewczyna	
kadın			kobieta	
altı			sześć	
bina			budynek	
bir			jeden; jakiś	
ev			dom	
er			żołnierz; szeregowy	
evet			tak	
üç			trzy	
doktor			doktor; lekarz	
okul			szkoła	
dersane			klasa; audytorium; sala wykładowa	
dört			cztery	
müdür			dyrektor; kierownik	
beş			pięć	
köylü			wieśniak	
subay			oficer	
fabrika			fabryka	
pencere			okno	
güzel			dobry; piękny; pięknie; ładny	
iki			dwa	
yedi			siedem	
sekiz			osiem	
dokuz			dziewięć	
on			dziesięć	
hayır			nie; dobro	
bu			ten; ta; to; ci	
ne?			co?	
o			tamten; tamta; tamto; tamci; on; ona; ono	
sandaliye			krzesło	
karyola			łóżko	
şu			ten; tamten; tamta; tamto; tamten tam; tamta tam; tamto tam; tamci tam	
komutan			dowódca	
memur			oficer; urzędnik	
kim?			kto?	
ihtiyar			stary; starzec; staruszka; w podeszłym wieku	
hasta			chory	
hastane			szpital	
kışla			baraki	
postane			poczta; urząd pocztowy	
