Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
masa			stół; tabela	
kapı			drzwi; wrota	
duvar			ściana	
sarı			żółty	
kırmızı			czerwony	
kutu			pudełko	
# === 2 ===
bir			jeden; jakiś	
talebe			uczeń; student; słuchacz	
amele			robotnik	
dolap			szafa	
kalem			pióro do pisania; długopis; ołówek; pióro	
Rus			rosjanin; rosyjski	
doktor			doktor; lekarz	
defter			zeszyt	
kitap			książka; ksiązka	
işçi			robotnik	
öğrenci			uczeń; student	
pilot			lotnik; pilot	
# === 3 ===
kız			dziewczynka; córka; dziewczyna	
er			żołnierz; szeregowy	
evet			tak	
subay			oficer	
yeşil			zielony	
beyaz			biały	
renk			kolor	
ne renktedir?			jakiego koloru?; jakiego jest koloru?	
sandalye			krzesło	
değil mi?			czyż nie?	
memur			oficer; urzędnik	
ya...?			a...?	
# === 4 ===
açık			otwarty; jasny; otwarcie; jasno	o kolorze
efendim			proszę pana	
küçük			mały; młodszy	
büyük			duży; wielki; starszy; dorosły	
pencere			okno	
hanım			kobieta; żona; pani	
hayır			nie; dobro	
öğretmen			nauczyciel; wykładowca	
ihtiyar			stary; starzec; staruszka; w podeszłym wieku	
genç			młody człowiek; młody	
tabi			oczywiście	
# === 5 ===
oda			pokój; izba	
çok			bardzo; dużo	
kaç			ile	
birkaç			kilka	
burada			tutaj	
şurada			tam; o tam	
orada			tam	
nerede			gdzie?; gdzie	
az			mało; rzadko	
üç			trzy	
ders			lekcja; zajęcia	
dersane			klasa; audytorium; sala wykładowa	
dört			cztery	
Efendim?			Przepraszam, nie dosłyszałem?; przepraszam, co pan powiedział?	
beş			pięć	
kişi			człowiek; osoba	
yok			nie ma; nie istnieje	
şimdi			teraz; obecnie	
sandalye			krzesło	
geniş			obszerny; przestronny; szeroki	
bugün			dzisiaj	
iki			dwa	
hasta			chory	
hastane			szpital	
var			jest; istnieje; znajduje się	
harita			mapa	
yazıtahtası			tablica szkolna	
biri			jeden z nich	
peki			świetnie; doskonale; w porządku	
bir dakika			minutkę	
