Phrase	Grammar	Transcription	Translation	Notes
ders			lekcja; zajęcia	
dersane			audytorium; klasa	
geniş			obszerny; przestronny	
oda			pokój; izba	
iki			dwa	
üç			trzy	
dört			cztery	
beş			pięć	
birkaç			kilka	
sandalye			krzesło	
var			jest; istnieje; znajduje się	
yok			nie ma; nie istnieje	
harita			mapa	
yazıtahtası			tablica szkolna	
bugün			dzisiaj	
biri			jeden z nich	
hasta			chory	
hastane			szpital	
şimdi			teraz; obecnie	
nerede			gdzie	
burada			tutaj	
şurada			tam	
orada			tam	
kaç			ile	
az			mało	
çok			dużo	
kişi			człowiek; osoba	
efendim?			przepraszam, co pan powiedział?	
peki			świetnie; doskonale	
bir dakika			minutkę	
