Phrase	Grammar	Transcription	Translation	Notes
ağaç			drzewo
akraba			krewny
alışveriş etmek			zajmować się handlem
amca			wujek ze strony ojca
avlu			podwórze
baba			ojciec
bardak			szklanka
baş			głowa
başak			kłos
çakmak			zapalniczka
çiçek			kwiat
değil			nie
değnek			kij; pałka
dost			przyjaciel
dördüncü			czwarty
ekmek			chleb
el			ręka
erkek			mężczyzna
ev			dom
evet			tak
havlu			ręcznik
hayır			nie
için			dla
içmek			pić
ile			z; razem z
iyi			dobry; dobrze
kabak			dynia
kadın			kobieta
kayak			narty
kız			dziewczynka; córka
kutu			pudełko
oğlan			chłopiec
öğrenci			uczeń; student
öğretmen			nauczyciel; wykładowca
sinek			mucha
toprak			ziemia
uçak			samolot
yarı			połowa
yemek			jedzenie; jeść
