Phrase	Grammar	Transcription	Translation	Notes
asistanı			asystent	
aynı			taki sam	
başkan			naczelnik	
başlıca			głównie	
bayram			święto	
bazı			niejaki	
beraber			razem	
bir şey			coś	
biri(si)			ktoś	
birlikte			razem	
bölüm başkanı			szef działu	
bunun için			dlatego	
bütün			wszystko	
çünkü			dlatego że	
değişik			różne	
doçent			docent	
doğu			wschód	
dokuzuncu			dziewiąty	
dolu			pełny	
ekim			październik	
filoloji			filologia	
hafta			tydzień	
hafta sonu			weekend	
için			dla; za; na	
ihtisas			specjalizacja	
(bir) ihtisaslı			mający (pewną) specjalność	
imtihan			egzamin	
kahvaltı			śniadanie	
kahve			kawa	
kanape			kanapa	
(bir) kimse			ktoś	
merhaba(lar)			dzień dobry	
mobilya			meble	
on bir			jedenaście	
öğrenim			nauka	
profesör			profesor	
renk			kolor	
sayı			ilość	
sınav			egzamin	
söylemek			mówić	
süre			okres	
şimdi			teraz	
şimdilik			obecnie; tym razem	
tatil			dzień wolny; urlop	
tören			uroczystość	
tüm			wszyscy	
Türk			Turek	
uzmanlık			specjalność	
vakit			czas	
veya			albo	
yalnız			tylko; ale	
yedi			siedem	
yıl			rok	
